Time,Ballooned memory for R02,Consumed for R02,Overhead consumed for R02,Host consumed % for R02,
2021-11-28T00:00:00.000Z,0,2957146110,10476095,61,42
2021-11-29T00:00:00.000Z,0,2957466370,10475934,61,42
2021-11-30T00:00:00.000Z,0,2959445760,10463455,61,46
2021-12-01T00:00:00.000Z,0,2959730180,10464483,61,47
2021-12-02T00:00:00.000Z,0,2959942660,10466034,61,48
2021-12-03T00:00:00.000Z,0,2968155650,10482950,61,65
2021-12-04T00:00:00.000Z,0,2959794180,10482725,61,47
2021-12-05T00:00:00.000Z,0,2974250750,10518493,61,77
2021-12-06T00:00:00.000Z,0,2978419970,10518229,61,86
2021-12-07T00:00:00.000Z,0,2986618620,10517002,62,3
2021-12-08T00:00:00.000Z,0,2840784640,10438390,59,
2021-12-09T00:00:00.000Z,0,2387553020,14211602,49,71
2021-12-10T00:00:00.000Z,0,2388531970,14517873,49,73
2021-12-11T00:00:00.000Z,0,2394998270,14652050,49,87
2021-12-12T00:00:00.000Z,0,2401462270,14706613,50,
2021-12-13T00:00:00.000Z,0,2346897410,14604777,48,87
2021-12-14T00:00:00.000Z,0,2359599870,14675031,49,14
2021-12-15T00:00:00.000Z,0,2300751620,14764993,47,92
2021-12-16T00:00:00.000Z,0,2337577730,14717023,48,68
2021-12-17T00:00:00.000Z,0,2349922560,14766733,48,94
2021-12-18T00:00:00.000Z,0,2275507460,14785006,47,4
2021-12-19T00:00:00.000Z,0,2285103100,14745652,47,6
2021-12-20T00:00:00.000Z,0,2278710020,14822649,47,47
2021-12-21T00:00:00.000Z,0,2287832060,14885073,47,66
2021-12-22T00:00:00.000Z,0,2291337730,14919188,47,73
2021-12-23T00:00:00.000Z,0,2292599810,14844740,47,75
2021-12-24T00:00:00.000Z,0,2292744960,14860390,47,76
2021-12-25T00:00:00.000Z,0,2298546430,14846209,47,88
2021-12-26T00:00:00.000Z,0,2295864580,14749716,47,82
2021-12-27T00:00:00.000Z,0,2296526590,14829812,47,83
2021-12-28T00:00:00.000Z,0,2305926140,14927947,48,3
2021-12-29T00:00:00.000Z,0,2308353280,14947020,48,8
2021-12-30T00:00:00.000Z,0,2299543040,14945649,47,9
2021-12-31T00:00:00.000Z,0,2285683460,14293382,47,6
2022-01-01T00:00:00.000Z,0,2293378820,14480001,47,76
2022-01-02T00:00:00.000Z,0,2302103810,14575723,47,94
2022-01-03T00:00:00.000Z,0,2303665410,14638949,47,98
2022-01-04T00:00:00.000Z,0,2344037380,14449065,48,81
2022-01-05T00:00:00.000Z,0,2325822210,14587510,48,44
2022-01-06T00:00:00.000Z,0,2324673020,14634785,48,41
2022-01-07T00:00:00.000Z,0,2321244160,14645271,48,34
2022-01-08T00:00:00.000Z,0,2328331010,14643859,48,49
2022-01-09T00:00:00.000Z,0,2348823300,14662931,48,91
2022-01-10T00:00:00.000Z,0,2276233220,14642838,47,41
2022-01-11T00:00:00.000Z,0,2282184960,14649841,47,53
2022-01-12T00:00:00.000Z,0,2281639170,14703472,47,52
2022-01-13T00:00:00.000Z,0,2255081730,14720895,46,97
2022-01-14T00:00:00.000Z,0,2266273540,14718409,47,21
2022-01-15T00:00:00.000Z,0,2280296960,14755334,47,5
2022-01-16T00:00:00.000Z,0,2323316220,14755989,48,39
2022-01-17T00:00:00.000Z,0,2274126340,14764070,47,37
2022-01-18T00:00:00.000Z,0,2285833220,14847362,47,61
2022-01-19T00:00:00.000Z,0,2285452540,14850347,47,61
2022-01-20T00:00:00.000Z,0,2272926980,14805293,47,34
2022-01-21T00:00:00.000Z,0,2277321980,14847305,47,44
2022-01-22T00:00:00.000Z,0,2278838270,14847595,47,47
2022-01-23T00:00:00.000Z,0,2341158400,14852352,48,76
2022-01-24T00:00:00.000Z,0,2293460990,14862878,47,77
2022-01-25T00:00:00.000Z,0,2285512450,14861957,47,61
2022-01-26T00:00:00.000Z,0,2280303870,14862172,47,5
2022-01-27T00:00:00.000Z,0,2287540480,14869514,47,65
2022-01-28T00:00:00.000Z,0,2282744830,14868647,47,55
2022-01-29T00:00:00.000Z,0,2293333760,14881407,47,77
2022-01-30T00:00:00.000Z,0,2353282560,14869062,49,1
2022-01-31T00:00:00.000Z,0,2288165380,14871286,47,66
2022-02-01T00:00:00.000Z,0,2283727360,14871181,47,57
2022-02-02T00:00:00.000Z,0,2285406720,14878247,47,61
2022-02-03T00:00:00.000Z,0,2440458240,11427024,50,74
2022-02-04T00:00:00.000Z,0,2451979010,11317901,50,98
2022-02-05T00:00:00.000Z,0,2479846140,11454097,51,56
2022-02-06T00:00:00.000Z,0,2487643140,11387779,51,72
2022-02-07T00:00:00.000Z,0,2486540290,11366356,51,7
2022-02-08T00:00:00.000Z,0,2491011070,11376641,51,79
2022-02-09T00:00:00.000Z,0,2525898500,11428018,52,51
2022-02-10T00:00:00.000Z,0,2526677760,11414086,52,53
2022-02-11T00:00:00.000Z,0,2502711040,11354703,52,3
2022-02-12T00:00:00.000Z,0,2498903300,11346708,51,95
2022-02-13T00:00:00.000Z,0,2499588350,11341957,51,97
2022-02-14T00:00:00.000Z,0,2475275520,11259270,51,46
2022-02-15T00:00:00.000Z,0,2436514050,12333877,50,68
2022-02-16T00:00:00.000Z,0,2396845310,12301555,49,86
2022-02-17T00:00:00.000Z,0,2404344320,12206110,50,1
2022-02-18T00:00:00.000Z,0,2445664510,12106097,50,86
2022-02-19T00:00:00.000Z,0,2447257600,12195199,50,9
2022-02-20T00:00:00.000Z,0,2484292100,12142543,51,66
2022-02-21T00:00:00.000Z,0,2399005440,12076534,49,9
2022-02-22T00:00:00.000Z,0,2407464700,12113591,50,7
2022-02-23T00:00:00.000Z,0,2460044540,12220547,51,16
2022-02-24T00:00:00.000Z,0,2461451010,12225235,51,19
2022-02-25T00:00:00.000Z,0,2461058820,12227087,51,19
2022-02-26T00:00:00.000Z,0,2461208830,12228777,51,19
2022-02-27T00:00:00.000Z,0,2491051260,12122892,51,8
2022-02-28T00:00:00.000Z,0,2471382530,12207771,51,4
2022-03-01T00:00:00.000Z,0,2471882500,12214316,51,41
2022-03-02T00:00:00.000Z,0,2471802880,12222631,51,41
2022-03-03T00:00:00.000Z,0,2473635840,12207960,51,45
2022-03-04T00:00:00.000Z,0,2473462270,12222321,51,44
2022-03-05T00:00:00.000Z,0,2474119680,12225299,51,46
2022-03-06T00:00:00.000Z,0,2511637760,12255693,52,23
2022-03-07T00:00:00.000Z,0,2492499970,12263838,51,84
2022-03-08T00:00:00.000Z,0,2491280130,12316656,51,81
2022-03-09T00:00:00.000Z,0,2493505790,12350704,51,86
2022-03-10T00:00:00.000Z,0,2527215870,11529639,52,54
2022-03-11T00:00:00.000Z,0,2527546620,11465396,52,55
2022-03-12T00:00:00.000Z,0,2527602690,11448141,52,55
2022-03-13T00:00:00.000Z,0,2526099710,11404790,52,52
2022-03-14T00:00:00.000Z,0,2526615040,11403868,52,53
2022-03-15T00:00:00.000Z,0,2528166910,11415763,52,56
2022-03-16T00:00:00.000Z,0,2528695810,11409331,52,57
2022-03-17T00:00:00.000Z,0,2528677120,11403403,52,57
2022-03-18T00:00:00.000Z,0,2503923710,11407747,52,6
2022-03-19T00:00:00.000Z,0,2492331260,11561246,51,82
2022-03-20T00:00:00.000Z,0,2493521660,11553804,51,84
2022-03-21T00:00:00.000Z,0,2493777660,11514207,51,85
2022-03-22T00:00:00.000Z,0,2498040060,11507098,51,94
2022-03-23T00:00:00.000Z,0,2497828100,11469966,51,93
2022-03-24T00:00:00.000Z,0,2530566910,11673493,52,61
