Time,Read rate for V03_n2,Usage for V03_n2,Write rate for V03_n2
2021-10-20T00:00:00.000Z,2203,5385,3181
2021-10-21T00:00:00.000Z,1734,3847,2113
2021-10-22T00:00:00.000Z,3063,15502,12438
2021-10-23T00:00:00.000Z,1710,3798,2088
2021-10-24T00:00:00.000Z,1579,3775,2196
2021-10-25T00:00:00.000Z,1407,2660,1252
2021-10-26T00:00:00.000Z,1345,2899,1554
2021-10-27T00:00:00.000Z,2178,5090,2912
2021-10-28T00:00:00.000Z,1903,4674,2771
2021-10-29T00:00:00.000Z,4592,10251,5659
2021-10-30T00:00:00.000Z,2201,5781,3579
2021-10-31T00:00:00.000Z,2157,5397,3240
2021-11-01T00:00:00.000Z,2618,6298,3679
2021-11-02T00:00:00.000Z,3109,8061,4951
2021-11-03T00:00:00.000Z,2962,8016,5054
2021-11-04T00:00:00.000Z,2888,6639,3751
2021-11-05T00:00:00.000Z,2972,7570,4597
2021-11-06T00:00:00.000Z,1823,4271,2448
2021-11-07T00:00:00.000Z,1682,3940,2257
2021-11-08T00:00:00.000Z,2146,5230,3085
2021-11-09T00:00:00.000Z,2791,6389,3599
2021-11-10T00:00:00.000Z,1722,4623,2901
2021-11-11T00:00:00.000Z,1665,3817,2151
2021-11-12T00:00:00.000Z,1680,3742,2062
2021-11-13T00:00:00.000Z,1403,3095,1691
2021-11-14T00:00:00.000Z,1445,3449,2003
2021-11-15T00:00:00.000Z,1791,4476,2684
2021-11-16T00:00:00.000Z,1519,3588,2069
2021-11-17T00:00:00.000Z,2380,5761,3381
2021-11-18T00:00:00.000Z,2222,5695,3472
2021-11-19T00:00:00.000Z,1816,4263,2446
2021-11-20T00:00:00.000Z,1730,4135,2405
2021-11-21T00:00:00.000Z,1416,3827,2411
2021-11-22T00:00:00.000Z,6354,11728,5374
2021-11-23T00:00:00.000Z,2491,6806,4315
2021-11-24T00:00:00.000Z,2733,7400,4666
2021-11-25T00:00:00.000Z,2327,6206,3878
2021-11-26T00:00:00.000Z,2313,6003,3689
2021-11-27T00:00:00.000Z,2152,5597,3444
2021-11-28T00:00:00.000Z,1896,4957,3060
2021-11-29T00:00:00.000Z,1997,5350,3353
2021-11-30T00:00:00.000Z,2665,7207,4542
2021-12-01T00:00:00.000Z,2600,7212,4611
2021-12-02T00:00:00.000Z,2640,7257,4617
2021-12-03T00:00:00.000Z,2713,7188,4474
2021-12-04T00:00:00.000Z,51462,54834,3372
2021-12-05T00:00:00.000Z,1952,5202,3249
2021-12-06T00:00:00.000Z,2486,6775,4288
2021-12-07T00:00:00.000Z,3188,8567,5379
2021-12-08T00:00:00.000Z,2169,5939,3770
2021-12-09T00:00:00.000Z,2666,6818,4152
2021-12-10T00:00:00.000Z,2642,6935,4292
2021-12-11T00:00:00.000Z,1886,4784,2898
2021-12-12T00:00:00.000Z,1978,4314,2336
2021-12-13T00:00:00.000Z,2986,7630,4643
2021-12-14T00:00:00.000Z,3402,8750,5348
2021-12-15T00:00:00.000Z,4077,8971,4893
2021-12-16T00:00:00.000Z,1979,4680,2699
2021-12-17T00:00:00.000Z,2001,4562,2561
2021-12-18T00:00:00.000Z,58124,61463,3339
2021-12-19T00:00:00.000Z,1779,4385,2605
2021-12-20T00:00:00.000Z,1993,4581,2588
2021-12-21T00:00:00.000Z,2176,5904,3727
2021-12-22T00:00:00.000Z,2822,7098,4275
2021-12-23T00:00:00.000Z,4443,9759,5315
2021-12-24T00:00:00.000Z,2278,5739,3460
2021-12-25T00:00:00.000Z,1946,4832,2885
2021-12-26T00:00:00.000Z,1555,3828,2272
2021-12-27T00:00:00.000Z,64814,67238,2423
2021-12-28T00:00:00.000Z,2899,7529,4629
2021-12-29T00:00:00.000Z,3333,9472,6138
2021-12-30T00:00:00.000Z,3251,8723,5472
2021-12-31T00:00:00.000Z,2211,5643,3431
2022-01-01T00:00:00.000Z,2960,7898,4938
2022-01-02T00:00:00.000Z,3614,10036,6421
2022-01-03T00:00:00.000Z,2630,6891,4260
2022-01-04T00:00:00.000Z,3446,9922,6475
2022-01-05T00:00:00.000Z,3572,9091,5518
2022-01-06T00:00:00.000Z,53549,72690,19141
2022-01-07T00:00:00.000Z,2337,5543,3206
2022-01-08T00:00:00.000Z,1978,5364,3386
2022-01-09T00:00:00.000Z,1896,4648,2752
2022-01-10T00:00:00.000Z,1812,4883,3070
2022-01-11T00:00:00.000Z,2337,5847,3509
2022-01-12T00:00:00.000Z,2300,6058,3758
2022-01-13T00:00:00.000Z,69421,72623,3200
2022-01-14T00:00:00.000Z,3365,8502,5137
2022-01-15T00:00:00.000Z,2079,7262,5182
2022-01-16T00:00:00.000Z,2078,5631,3552
2022-01-17T00:00:00.000Z,2599,7169,4569
2022-01-18T00:00:00.000Z,1863,5136,3272
2022-01-19T00:00:00.000Z,3533,10457,6923
2022-01-20T00:00:00.000Z,3292,9272,5980
2022-01-21T00:00:00.000Z,2996,7407,4411
2022-01-22T00:00:00.000Z,1916,4873,2957
2022-01-23T00:00:00.000Z,1935,5200,3265
2022-01-24T00:00:00.000Z,2119,5416,3297
2022-01-25T00:00:00.000Z,2100,5250,3149
2022-01-26T00:00:00.000Z,1880,4957,3077
2022-01-27T00:00:00.000Z,1923,5090,3167
2022-01-28T00:00:00.000Z,2137,5276,3138
2022-01-29T00:00:00.000Z,1736,4386,2650
2022-01-30T00:00:00.000Z,1643,3991,2348
2022-01-31T00:00:00.000Z,2160,5110,2949
2022-02-01T00:00:00.000Z,1887,4950,3062
2022-02-02T00:00:00.000Z,2777,7143,4365
2022-02-03T00:00:00.000Z,2251,5857,3605
2022-02-04T00:00:00.000Z,3073,7457,4383
2022-02-05T00:00:00.000Z,2321,5634,3312
2022-02-06T00:00:00.000Z,2074,5274,3199
2022-02-07T00:00:00.000Z,2306,5902,3595
2022-02-08T00:00:00.000Z,2306,6198,3891
2022-02-09T00:00:00.000Z,2066,5617,3551
2022-02-10T00:00:00.000Z,2064,5366,3301
2022-02-11T00:00:00.000Z,2274,5617,3343
2022-02-12T00:00:00.000Z,1906,4856,2949
2022-02-13T00:00:00.000Z,2404,6036,3632
2022-02-14T00:00:00.000Z,2459,6317,3857
2022-02-15T00:00:00.000Z,5498,15125,9626
2022-02-16T00:00:00.000Z,2312,6062,3749
2022-02-17T00:00:00.000Z,2434,35405,32971
2022-02-18T00:00:00.000Z,2765,6377,3611
2022-02-19T00:00:00.000Z,2374,5741,3367
2022-02-20T00:00:00.000Z,1817,4499,2681
2022-02-21T00:00:00.000Z,2503,6175,3672
2022-02-22T00:00:00.000Z,2427,6063,3635
2022-02-23T00:00:00.000Z,2434,6355,3921
2022-02-24T00:00:00.000Z,2011,5513,3502
2022-02-25T00:00:00.000Z,2803,6782,3978
2022-02-26T00:00:00.000Z,2974,7894,4920
2022-02-27T00:00:00.000Z,4394,11960,7565
2022-02-28T00:00:00.000Z,2197,6005,3808
2022-03-01T00:00:00.000Z,4006,10348,6342
2022-03-02T00:00:00.000Z,2611,17155,14543
2022-03-03T00:00:00.000Z,2769,35510,32741
2022-03-04T00:00:00.000Z,3799,10141,6340
2022-03-05T00:00:00.000Z,2101,5733,3631
2022-03-06T00:00:00.000Z,2124,5362,3238
2022-03-07T00:00:00.000Z,2889,7075,4185
2022-03-08T00:00:00.000Z,2277,5397,3119
2022-03-09T00:00:00.000Z,3092,7955,4862
2022-03-10T00:00:00.000Z,3518,9702,6183
2022-03-11T00:00:00.000Z,2689,7194,4505
2022-03-12T00:00:00.000Z,2493,6424,3930
2022-03-13T00:00:00.000Z,2556,6588,4032
2022-03-14T00:00:00.000Z,3820,9851,6031
2022-03-15T00:00:00.000Z,2630,6805,4174
2022-03-16T00:00:00.000Z,3888,11301,7412
2022-03-17T00:00:00.000Z,4389,12689,8299
2022-03-18T00:00:00.000Z,2461,6392,3929
2022-03-19T00:00:00.000Z,3594,9270,5675
2022-03-20T00:00:00.000Z,3272,9058,5786
2022-03-21T00:00:00.000Z,4895,13340,8444
2022-03-22T00:00:00.000Z,5180,14717,9536
2022-03-23T00:00:00.000Z,5125,16689,11563
2022-03-24T00:00:00.000Z,2597,6833,4235
2022-03-25T00:00:00.000Z,4084,10296,6211
2022-03-26T00:00:00.000Z,2553,5767,3213
2022-03-27T00:00:00.000Z,5483,12392,6908
2022-03-28T00:00:00.000Z,7212,18197,10984
