Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2021-10-09T00:00:00.000Z,94003384,0,947340740,921758850,735577,0
2021-10-10T00:00:00.000Z,71731456,0,947321730,921758590,735573,0
2021-10-11T00:00:00.000Z,92906160,0,947313410,921758660,735449,0
2021-10-12T00:00:00.000Z,94250752,0,947790400,922221820,735356,0
2021-10-13T00:00:00.000Z,100540272,0,947779010,922221820,735719,0
2021-10-14T00:00:00.000Z,97686032,0,947773700,922223360,735397,0
2021-10-15T00:00:00.000Z,98174416,0,947786110,922235140,736439,0
2021-10-16T00:00:00.000Z,96186760,0,947817790,922258750,735917,0
2021-10-17T00:00:00.000Z,75947592,0,947803580,922273600,735460,0
2021-10-18T00:00:00.000Z,90698096,0,947820420,922286850,734958,0
2021-10-19T00:00:00.000Z,94995944,0,947846590,922323840,735933,0
2021-10-20T00:00:00.000Z,91939552,0,947869950,922336130,735669,0
2021-10-21T00:00:00.000Z,80616720,0,947889980,922360000,735619,0
2021-10-22T00:00:00.000Z,65634240,0,679932420,654336320,752295,0
2021-10-23T00:00:00.000Z,67798456,0,921510270,895938500,745374,0
2021-10-24T00:00:00.000Z,56046704,0,949822850,924240450,743502,0
2021-10-25T00:00:00.000Z,58592760,0,949887940,924308030,742983,0
2021-10-26T00:00:00.000Z,62744156,0,952262590,926666300,743354,0
2021-10-27T00:00:00.000Z,65447472,0,953276540,927685570,743470,0
2021-10-28T00:00:00.000Z,79351176,0,953534660,927949180,742354,0
2021-10-29T00:00:00.000Z,96064560,0,954339070,928736960,743167,0
2021-10-30T00:00:00.000Z,90670408,0,956942850,931334850,742287,0
2021-10-31T00:00:00.000Z,68803888,0,956935490,931353090,742622,0
2021-11-01T00:00:00.000Z,70224912,0,956990020,931409220,741960,0
2021-11-02T00:00:00.000Z,80016992,0,957005700,931422980,742079,0
2021-11-03T00:00:00.000Z,92057424,0,965700220,940074940,741931,0
2021-11-04T00:00:00.000Z,76478240,0,965842430,940132990,739692,0
2021-11-05T00:00:00.000Z,87276232,0,965781120,940162110,739053,0
2021-11-06T00:00:00.000Z,78431408,0,965785660,940178820,738929,0
2021-11-07T00:00:00.000Z,62179288,0,965810500,940208580,738709,0
2021-11-08T00:00:00.000Z,71005984,0,965838720,940228420,736710,0
2021-11-09T00:00:00.000Z,71490360,0,965869950,940252610,735888,0
2021-11-10T00:00:00.000Z,85473824,0,965867780,940273410,734625,0
2021-11-11T00:00:00.000Z,59922492,0,965912900,940310210,736333,0
2021-11-12T00:00:00.000Z,66731180,0,965920580,940339900,735231,0
2021-11-13T00:00:00.000Z,69189680,0,965955330,940362110,735608,0
2021-11-14T00:00:00.000Z,54334292,0,965997570,940409150,736044,0
2021-11-15T00:00:00.000Z,76784480,0,965995710,940414140,735846,0
2021-11-16T00:00:00.000Z,70026032,0,966066240,940462980,736136,0
2021-11-17T00:00:00.000Z,66850856,0,966069700,940489280,736230,0
2021-11-18T00:00:00.000Z,86796776,0,966109950,940517060,735529,0
2021-11-19T00:00:00.000Z,70800240,0,966148160,940562500,736077,0
2021-11-20T00:00:00.000Z,81034624,0,966210370,940612100,735533,0
2021-11-21T00:00:00.000Z,56015464,0,966457860,940651650,735712,0
2021-11-22T00:00:00.000Z,79330896,0,957429890,940640130,9374523,0
2021-11-23T00:00:00.000Z,87307344,0,957837440,940691010,9090423,0
2021-11-24T00:00:00.000Z,89525456,0,957945410,940717310,9029396,0
2021-11-25T00:00:00.000Z,93650016,0,958016640,940741180,8968977,0
2021-11-26T00:00:00.000Z,90793832,0,958155840,940781060,8875853,0
2021-11-27T00:00:00.000Z,93387512,0,958272130,940799620,8777122,0
2021-11-28T00:00:00.000Z,77968616,0,958388740,940836420,8686182,0
2021-11-29T00:00:00.000Z,91667384,0,958455100,940853120,8639200,0
2021-11-30T00:00:00.000Z,96558024,0,958554110,940904510,8604272,0
2021-12-01T00:00:00.000Z,110432032,0,958844670,941072830,8601730,0
2021-12-02T00:00:00.000Z,114213072,0,958874370,941091780,8582839,0
2021-12-03T00:00:00.000Z,108626432,0,958909890,941143870,8564357,0
2021-12-04T00:00:00.000Z,102754504,0,959197570,941185920,8545071,0
2021-12-05T00:00:00.000Z,80271488,0,959012350,941203970,8535320,0
2021-12-06T00:00:00.000Z,91680992,0,959045310,941232320,8514640,0
2021-12-07T00:00:00.000Z,94627760,0,959144260,941279940,8482738,0
2021-12-08T00:00:00.000Z,94560680,0,959202620,941300540,8444842,0
2021-12-09T00:00:00.000Z,93535040,0,959241340,941331140,8447929,0
2021-12-10T00:00:00.000Z,104389160,0,963195330,952789440,16067027,0
2021-12-11T00:00:00.000Z,63018468,0,914350720,904125180,16046909,0
2021-12-12T00:00:00.000Z,53825904,0,914614910,904381180,16029450,0
2021-12-13T00:00:00.000Z,79581992,0,927320900,916887100,16037630,0
2021-12-14T00:00:00.000Z,89098176,0,972081660,954702980,9085595,0
2021-12-15T00:00:00.000Z,88817848,0,966521920,941608830,1432448,0
2021-12-16T00:00:00.000Z,84419656,0,966529540,941610620,1424778,0
2021-12-17T00:00:00.000Z,81461120,0,966604800,941626940,1378876,0
2021-12-18T00:00:00.000Z,81430872,0,966838020,941649790,1364842,0
2021-12-19T00:00:00.000Z,68503016,0,966695360,941676420,1341999,0
2021-12-20T00:00:00.000Z,78670888,0,966779260,941681090,1258306,0
2021-12-21T00:00:00.000Z,87218216,0,966783810,941685310,1257776,0
2021-12-22T00:00:00.000Z,79110144,0,966832130,941699200,1227031,0
2021-12-23T00:00:00.000Z,94006992,0,966848700,941702720,1227724,0
2021-12-24T00:00:00.000Z,93424136,0,966849860,941702400,1226739,0
2021-12-25T00:00:00.000Z,87122488,0,966848190,941703420,1229577,0
2021-12-26T00:00:00.000Z,69743240,0,966851200,941704000,1227866,0
2021-12-27T00:00:00.000Z,81094976,0,967056130,941703740,1227791,0
2021-12-28T00:00:00.000Z,94706864,0,966865280,941709060,1226816,0
2021-12-29T00:00:00.000Z,99614032,0,966895230,941727230,1225387,0
2021-12-30T00:00:00.000Z,103522160,0,966902720,941730110,1228278,0
2021-12-31T00:00:00.000Z,108410448,0,966939390,941735940,1227332,0
2022-01-01T00:00:00.000Z,97334984,0,966949250,941746750,1226136,0
2022-01-02T00:00:00.000Z,89154296,0,966934270,941748540,1226885,0
2022-01-03T00:00:00.000Z,109547280,0,966906820,941741500,1226698,0
2022-01-04T00:00:00.000Z,113655648,0,966962300,941770500,1228874,0
2022-01-05T00:00:00.000Z,92513488,0,655071680,629101700,1232645,0
2022-01-06T00:00:00.000Z,85276976,0,869810110,843570880,1240516,0
2022-01-07T00:00:00.000Z,93906848,0,885532930,859624260,1239016,0
2022-01-08T00:00:00.000Z,86736984,0,1031841660,1005904900,1233038,0
2022-01-09T00:00:00.000Z,78235632,0,1223503100,1197574910,1229582,0
2022-01-10T00:00:00.000Z,92674512,0,1223513730,1197579390,1234471,0
2022-01-11T00:00:00.000Z,95567720,0,1223634430,1197680510,1230689,0
2022-01-12T00:00:00.000Z,94973152,0,1223795580,1197856130,1228534,0
2022-01-13T00:00:00.000Z,98873960,0,1224200450,1198041980,1230017,0
2022-01-14T00:00:00.000Z,98057944,0,1224297090,1198343300,1229868,0
2022-01-15T00:00:00.000Z,99302272,0,1219102460,1193166980,1226746,0
2022-01-16T00:00:00.000Z,68732008,0,818804930,792868100,1242212,0
2022-01-17T00:00:00.000Z,93175760,0,1224163710,1198183040,1238548,0
2022-01-18T00:00:00.000Z,99930080,0,1229423100,1203448190,1231324,0
2022-01-19T00:00:00.000Z,106426640,0,1229769470,1203769470,1225112,0
2022-01-20T00:00:00.000Z,107550000,0,1229879300,1203914620,1221375,0
2022-01-21T00:00:00.000Z,107840424,0,1230356740,1204401150,1225317,0
2022-01-22T00:00:00.000Z,84551328,0,1166320770,1140413700,1228628,0
2022-01-23T00:00:00.000Z,78782016,0,1170521600,1144601860,1221788,0
2022-01-24T00:00:00.000Z,89839520,0,1174466820,1148559490,1220515,0
2022-01-25T00:00:00.000Z,97978336,0,1210166400,1184246780,1214330,0
2022-01-26T00:00:00.000Z,96816696,0,1215781500,1189853820,1212915,0
2022-01-27T00:00:00.000Z,101561928,0,1217368320,1191416450,1212128,0
2022-01-28T00:00:00.000Z,101526776,0,1217730430,1191782400,1210360,0
2022-01-29T00:00:00.000Z,96512808,0,1217741060,1191792900,1210634,0
2022-01-30T00:00:00.000Z,78755064,0,1217740670,1191793790,1210415,0
2022-01-31T00:00:00.000Z,93214600,0,1217761150,1191795580,1210118,0
2022-02-01T00:00:00.000Z,112389152,0,1218105340,1191838590,1209282,0
2022-02-02T00:00:00.000Z,120527008,0,1217937540,1191970940,1209407,0
2022-02-03T00:00:00.000Z,118232136,0,1218207870,1192227460,1209693,0
2022-02-04T00:00:00.000Z,115592552,0,1218551680,1192574590,1206761,0
2022-02-05T00:00:00.000Z,115811672,0,1218696060,1192703360,1206919,0
2022-02-06T00:00:00.000Z,95409688,0,1218685950,1192703740,1206067,0
2022-02-07T00:00:00.000Z,103855008,0,1218688260,1192712060,1207554,0
2022-02-08T00:00:00.000Z,103766840,0,1219082750,1193059330,1206910,0
2022-02-09T00:00:00.000Z,109122336,0,1219026560,1193059070,1208190,0
2022-02-10T00:00:00.000Z,114995744,0,1223415170,1197455100,1207607,0
2022-02-11T00:00:00.000Z,113912288,0,1223402240,1197456380,1207678,0
2022-02-12T00:00:00.000Z,111229200,0,1223436030,1197476350,1207823,0
2022-02-13T00:00:00.000Z,93639928,0,1223449980,1197476220,1206464,0
2022-02-14T00:00:00.000Z,102440880,0,1223441280,1197476220,1206723,0
2022-02-15T00:00:00.000Z,106609752,0,1223441150,1197476480,1205935,0
2022-02-16T00:00:00.000Z,104258576,0,1223444860,1197470850,1208454,0
2022-02-17T00:00:00.000Z,116047008,0,1223694340,1197561980,1204036,0
2022-02-18T00:00:00.000Z,119627848,0,1223562500,1197575810,1200484,0
2022-02-19T00:00:00.000Z,122482800,0,1223586180,1197596800,1200603,0
2022-02-20T00:00:00.000Z,96601792,0,1223614590,1197602690,1200857,0
2022-02-21T00:00:00.000Z,110203720,0,1223604480,1197614720,1201703,0
2022-02-22T00:00:00.000Z,109023608,0,1223629570,1197633540,1201531,0
2022-02-23T00:00:00.000Z,111785584,0,1223650430,1197642880,1201566,0
2022-02-24T00:00:00.000Z,109515696,0,1223646460,1197654020,1202514,0
2022-02-25T00:00:00.000Z,101583224,0,1223675650,1197669630,1201386,0
2022-02-26T00:00:00.000Z,111496416,0,1223701250,1197688700,1201229,0
2022-02-27T00:00:00.000Z,91311136,0,1223713150,1197709060,1200905,0
2022-02-28T00:00:00.000Z,104223104,0,1223702910,1197725440,1200602,0
2022-03-01T00:00:00.000Z,115981248,0,1223765120,1197740420,1201673,0
2022-03-02T00:00:00.000Z,117381312,0,1223815040,1197752190,1200724,0
2022-03-03T00:00:00.000Z,117976776,0,1228816380,1202615810,1200097,0
2022-03-04T00:00:00.000Z,116167096,0,1228894210,1202888190,1201933,0
2022-03-05T00:00:00.000Z,107142840,0,1228903300,1202890370,1198947,0
2022-03-06T00:00:00.000Z,74361008,0,1228873980,1202890370,1199814,0
2022-03-07T00:00:00.000Z,88583392,0,1228874750,1202890750,1200505,0
2022-03-08T00:00:00.000Z,87872352,0,1229296770,1203316480,1199003,0
2022-03-09T00:00:00.000Z,107495112,0,1229311620,1203319420,1197698,0
2022-03-10T00:00:00.000Z,108172384,0,1229328770,1203319680,1198884,0
2022-03-11T00:00:00.000Z,107883992,0,1229398020,1203366910,1199293,0
2022-03-12T00:00:00.000Z,105684912,0,1229421700,1203366660,1197520,0
2022-03-13T00:00:00.000Z,93586416,0,1229419260,1203366910,1196339,0
2022-03-14T00:00:00.000Z,101635920,0,1229403260,1203367170,1195823,0
2022-03-15T00:00:00.000Z,102316888,0,1229392380,1203367420,1196971,0
2022-03-16T00:00:00.000Z,104468464,0,1230039550,1203996030,1197317,0
2022-03-17T00:00:00.000Z,105092976,0,1230034690,1203997570,1197393,0
2022-03-18T00:00:00.000Z,112098008,0,1230105860,1204078080,1197399,0
2022-03-19T00:00:00.000Z,108388888,0,1230132350,1204099460,1195844,0
2022-03-20T00:00:00.000Z,94889416,0,1230272510,1204259580,1197091,0
2022-03-21T00:00:00.000Z,99644448,0,1230316800,1204286590,1193120,0
2022-03-22T00:00:00.000Z,103201752,0,1230329860,1204304260,1192217,0
2022-03-23T00:00:00.000Z,109535136,0,1230354690,1204312320,1192128,0
2022-03-24T00:00:00.000Z,112708464,0,1230635900,1204590850,1191219,0
2022-03-25T00:00:00.000Z,112011432,0,1230673920,1204621060,1190527,0
2022-03-26T00:00:00.000Z,99969944,0,1230696450,1204636290,1190625,0
2022-03-27T00:00:00.000Z,76155904,0,1231013380,1204949380,1190731,0
2022-03-28T00:00:00.000Z,106494992,0,1231096830,1204976130,1187458,0
2022-03-29T00:00:00.000Z,91882552,0,1231182590,1205027330,1182976,0
2022-03-30T00:00:00.000Z,99293160,0,1231169540,1205050240,1180370,0
2022-03-31T00:00:00.000Z,114632568,0,1231168900,1205095170,1180215,0
2022-04-01T00:00:00.000Z,103967160,0,1231267200,1205188350,1179083,0
2022-04-02T00:00:00.000Z,103622808,0,1231589120,1205509250,1178299,0
2022-04-03T00:00:00.000Z,92734408,0,1231599490,1205531010,1176786,0
2022-04-04T00:00:00.000Z,100991936,0,1231657730,1205547140,1175891,0
2022-04-05T00:00:00.000Z,102544608,0,1231704450,1205582080,1176777,0
2022-04-06T00:00:00.000Z,109891512,0,1231724420,1205631100,1176149,0
2022-04-07T00:00:00.000Z,105024040,0,1231772930,1205663360,1174099,0
2022-04-08T00:00:00.000Z,113749808,0,1231826560,1205722240,1174132,0
2022-04-09T00:00:00.000Z,94590608,0,1231869570,1205755140,1175000,0
2022-04-10T00:00:00.000Z,72505264,0,1231883900,1205773060,1174147,0
2022-04-11T00:00:00.000Z,105543384,0,1231895550,1205792000,1174033,0
2022-04-12T00:00:00.000Z,104164960,0,1231904380,1205796610,1174205,0
2022-04-13T00:00:00.000Z,,,,,,
