Time,Usage for V02_n2
2021-12-22T00:00:00.000Z,16379
2021-12-23T00:00:00.000Z,14038
2021-12-24T00:00:00.000Z,14147
2021-12-25T00:00:00.000Z,25172
2021-12-26T00:00:00.000Z,14230
2021-12-27T00:00:00.000Z,16497
2021-12-28T00:00:00.000Z,14171
2021-12-29T00:00:00.000Z,15356
2021-12-30T00:00:00.000Z,14650
2021-12-31T00:00:00.000Z,16929
2022-01-01T00:00:00.000Z,26993
2022-01-02T00:00:00.000Z,14724
2022-01-03T00:00:00.000Z,14797
2022-01-04T00:00:00.000Z,16216
2022-01-05T00:00:00.000Z,17849
2022-01-06T00:00:00.000Z,16050
2022-01-07T00:00:00.000Z,16500
2022-01-08T00:00:00.000Z,23984
2022-01-09T00:00:00.000Z,19237
2022-01-10T00:00:00.000Z,12835
2022-01-11T00:00:00.000Z,18493
2022-01-12T00:00:00.000Z,16493
2022-01-13T00:00:00.000Z,25412
2022-01-14T00:00:00.000Z,15656
2022-01-15T00:00:00.000Z,27225
2022-01-16T00:00:00.000Z,14463
2022-01-17T00:00:00.000Z,18756
2022-01-18T00:00:00.000Z,17631
2022-01-19T00:00:00.000Z,14605
2022-01-20T00:00:00.000Z,16974
2022-01-21T00:00:00.000Z,17143
2022-01-22T00:00:00.000Z,30125
2022-01-23T00:00:00.000Z,12607
2022-01-24T00:00:00.000Z,13343
2022-01-25T00:00:00.000Z,22158
2022-01-26T00:00:00.000Z,47225
2022-01-27T00:00:00.000Z,13525
2022-01-28T00:00:00.000Z,20818
2022-01-29T00:00:00.000Z,37701
2022-01-30T00:00:00.000Z,47994
2022-01-31T00:00:00.000Z,28926
2022-02-01T00:00:00.000Z,14424
2022-02-02T00:00:00.000Z,16050
2022-02-03T00:00:00.000Z,15617
2022-02-04T00:00:00.000Z,16125
2022-02-05T00:00:00.000Z,25790
2022-02-06T00:00:00.000Z,14741
2022-02-07T00:00:00.000Z,15155
2022-02-08T00:00:00.000Z,16673
2022-02-09T00:00:00.000Z,15973
2022-02-10T00:00:00.000Z,15181
2022-02-11T00:00:00.000Z,17683
2022-02-12T00:00:00.000Z,27396
2022-02-13T00:00:00.000Z,19475
2022-02-14T00:00:00.000Z,26622
2022-02-15T00:00:00.000Z,31965
2022-02-16T00:00:00.000Z,18741
2022-02-17T00:00:00.000Z,16911
2022-02-18T00:00:00.000Z,13987
2022-02-19T00:00:00.000Z,24874
2022-02-20T00:00:00.000Z,17395
2022-02-21T00:00:00.000Z,14926
2022-02-22T00:00:00.000Z,23706
2022-02-23T00:00:00.000Z,29763
2022-02-24T00:00:00.000Z,14547
2022-02-25T00:00:00.000Z,16037
2022-02-26T00:00:00.000Z,24567
2022-02-27T00:00:00.000Z,42322
2022-02-28T00:00:00.000Z,30532
2022-03-01T00:00:00.000Z,12270
2022-03-02T00:00:00.000Z,21418
2022-03-03T00:00:00.000Z,22360
2022-03-04T00:00:00.000Z,19356
2022-03-05T00:00:00.000Z,25226
2022-03-06T00:00:00.000Z,15904
2022-03-07T00:00:00.000Z,12579
2022-03-08T00:00:00.000Z,18601
2022-03-09T00:00:00.000Z,13627
2022-03-10T00:00:00.000Z,18407
2022-03-11T00:00:00.000Z,20837
2022-03-12T00:00:00.000Z,26427
2022-03-13T00:00:00.000Z,26309
2022-03-14T00:00:00.000Z,15267
2022-03-15T00:00:00.000Z,17013
2022-03-16T00:00:00.000Z,15573
2022-03-17T00:00:00.000Z,24590
2022-03-18T00:00:00.000Z,40489
2022-03-19T00:00:00.000Z,27346
2022-03-20T00:00:00.000Z,16610
2022-03-21T00:00:00.000Z,16438
2022-03-22T00:00:00.000Z,14451
2022-03-23T00:00:00.000Z,14263
2022-03-24T00:00:00.000Z,14502
2022-03-25T00:00:00.000Z,14675
2022-03-26T00:00:00.000Z,26185
2022-03-27T00:00:00.000Z,15026
2022-03-28T00:00:00.000Z,16582
2022-03-29T00:00:00.000Z,16745
2022-03-30T00:00:00.000Z,17168
2022-03-31T00:00:00.000Z,17383
2022-04-01T00:00:00.000Z,16231
2022-04-02T00:00:00.000Z,25433
2022-04-03T00:00:00.000Z,28284
2022-04-04T00:00:00.000Z,17300
2022-04-05T00:00:00.000Z,14511
2022-04-06T00:00:00.000Z,17532
2022-04-07T00:00:00.000Z,16574
2022-04-08T00:00:00.000Z,18628
2022-04-09T00:00:00.000Z,24838
2022-04-10T00:00:00.000Z,16957
2022-04-11T00:00:00.000Z,29475
2022-04-12T00:00:00.000Z,16945
2022-04-13T00:00:00.000Z,
