Time,Usage in MHz for V02,Usage for V02,
2022-04-04T06:00:00.000Z,58720,32,62
2022-04-04T08:00:00.000Z,55024,30,56
2022-04-04T10:00:00.000Z,55604,30,89
2022-04-04T12:00:00.000Z,54732,30,4
2022-04-04T14:00:00.000Z,45602,25,33
2022-04-04T16:00:00.000Z,46250,25,69
2022-04-04T18:00:00.000Z,47556,26,42
2022-04-04T20:00:00.000Z,50837,28,24
2022-04-04T22:00:00.000Z,52100,28,94
2022-04-05T00:00:00.000Z,52887,29,38
2022-04-05T02:00:00.000Z,46533,25,85
2022-04-05T04:00:00.000Z,52167,28,98
2022-04-05T06:00:00.000Z,58146,32,3
2022-04-05T08:00:00.000Z,54873,30,48
2022-04-05T10:00:00.000Z,49384,27,43
2022-04-05T12:00:00.000Z,47650,26,47
2022-04-05T14:00:00.000Z,45555,25,3
2022-04-05T16:00:00.000Z,47158,26,19
2022-04-05T18:00:00.000Z,48867,27,14
2022-04-05T20:00:00.000Z,50836,28,24
2022-04-05T22:00:00.000Z,54316,30,17
2022-04-06T00:00:00.000Z,53429,29,68
2022-04-06T02:00:00.000Z,46298,25,72
2022-04-06T04:00:00.000Z,50654,28,14
2022-04-06T06:00:00.000Z,55913,31,6
2022-04-06T08:00:00.000Z,51873,28,81
2022-04-06T10:00:00.000Z,50322,27,95
2022-04-06T12:00:00.000Z,49265,27,36
2022-04-06T14:00:00.000Z,47958,26,64
2022-04-06T16:00:00.000Z,50968,28,31
2022-04-06T18:00:00.000Z,48780,27,1
2022-04-06T20:00:00.000Z,49672,27,59
2022-04-06T22:00:00.000Z,53780,29,87
2022-04-07T00:00:00.000Z,53815,29,89
2022-04-07T02:00:00.000Z,46124,25,62
2022-04-07T04:00:00.000Z,50571,28,9
2022-04-07T06:00:00.000Z,59717,33,17
2022-04-07T08:00:00.000Z,51908,28,83
2022-04-07T10:00:00.000Z,53415,29,67
2022-04-07T12:00:00.000Z,48887,27,15
2022-04-07T14:00:00.000Z,46480,25,82
2022-04-07T16:00:00.000Z,47351,26,3
2022-04-07T18:00:00.000Z,46841,26,2
2022-04-07T20:00:00.000Z,49104,27,28
2022-04-07T22:00:00.000Z,53077,29,48
2022-04-08T00:00:00.000Z,53754,29,86
2022-04-08T02:00:00.000Z,44888,24,93
2022-04-08T04:00:00.000Z,50064,27,81
2022-04-08T06:00:00.000Z,59880,33,26
2022-04-08T08:00:00.000Z,55532,30,85
2022-04-08T10:00:00.000Z,51556,28,64
