Time,Usage for V02_n3
2022-04-09T08:00:00.000Z,11771
2022-04-09T10:00:00.000Z,109286
2022-04-09T12:00:00.000Z,9714
2022-04-09T14:00:00.000Z,10734
2022-04-09T16:00:00.000Z,27324
2022-04-09T18:00:00.000Z,50954
2022-04-09T20:00:00.000Z,317862
2022-04-09T22:00:00.000Z,60394
2022-04-10T00:00:00.000Z,139698
2022-04-10T02:00:00.000Z,172863
2022-04-10T04:00:00.000Z,133935
2022-04-10T06:00:00.000Z,52293
2022-04-10T08:00:00.000Z,10460
2022-04-10T10:00:00.000Z,10096
2022-04-10T12:00:00.000Z,9584
2022-04-10T14:00:00.000Z,10707
2022-04-10T16:00:00.000Z,10146
2022-04-10T18:00:00.000Z,38670
2022-04-10T20:00:00.000Z,228374
2022-04-10T22:00:00.000Z,159630
2022-04-11T00:00:00.000Z,68154
2022-04-11T02:00:00.000Z,110126
2022-04-11T04:00:00.000Z,142390
2022-04-11T06:00:00.000Z,24404
2022-04-11T08:00:00.000Z,61008
2022-04-11T10:00:00.000Z,17567
2022-04-11T12:00:00.000Z,15385
2022-04-11T14:00:00.000Z,14237
2022-04-11T16:00:00.000Z,14513
2022-04-11T18:00:00.000Z,42445
2022-04-11T20:00:00.000Z,328761
2022-04-11T22:00:00.000Z,98351
2022-04-12T00:00:00.000Z,133750
2022-04-12T02:00:00.000Z,132033
2022-04-12T04:00:00.000Z,141841
2022-04-12T06:00:00.000Z,61285
2022-04-12T08:00:00.000Z,20457
2022-04-12T10:00:00.000Z,18805
2022-04-12T12:00:00.000Z,14228
2022-04-12T14:00:00.000Z,12785
2022-04-12T16:00:00.000Z,12335
2022-04-12T18:00:00.000Z,44239
2022-04-12T20:00:00.000Z,304612
2022-04-12T22:00:00.000Z,94313
2022-04-13T00:00:00.000Z,115610
2022-04-13T02:00:00.000Z,147822
2022-04-13T04:00:00.000Z,145280
2022-04-13T06:00:00.000Z,58192
2022-04-13T08:00:00.000Z,
2022-04-13T10:00:00.000Z,
