Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-06-25T00:00:00.000Z,2331,1145,237,922,0,25,0,797,232,540,0,0,23,1,3129,1377,777,922,0,48,1
2021-06-26T00:00:00.000Z,1193,373,633,155,0,23,5,703,224,457,0,0,21,1,1896,597,1091,155,0,44,6
2021-06-27T00:00:00.000Z,5951,414,5316,193,0,25,0,728,220,484,0,0,23,1,6680,634,5801,193,0,49,1
2021-06-28T00:00:00.000Z,3858,1502,1079,1250,0,24,0,880,277,578,0,0,22,1,4738,1780,1657,1250,0,47,1
2021-06-29T00:00:00.000Z,3296,1479,550,1240,0,24,0,854,248,583,0,0,21,1,4151,1728,1133,1240,0,46,1
2021-06-30T00:00:00.000Z,4536,1617,1538,1354,0,24,0,927,240,662,0,0,22,1,5464,1858,2201,1354,0,47,1
2021-07-01T00:00:00.000Z,4327,1586,1358,1357,0,24,0,1127,242,861,0,0,22,1,5455,1828,2219,1357,0,47,1
2021-07-02T00:00:00.000Z,3055,1325,632,1069,0,26,0,1014,315,671,0,0,26,1,4070,1641,1304,1069,0,53,1
2021-07-03T00:00:00.000Z,1462,401,859,176,0,23,0,715,226,467,0,0,21,1,2178,628,1327,176,0,44,1
2021-07-04T00:00:00.000Z,2262,450,1544,200,0,24,42,742,266,453,0,0,21,1,3004,717,1997,200,0,45,43
2021-07-05T00:00:00.000Z,4393,1658,1331,1377,0,24,0,912,285,604,0,0,21,1,5306,1944,1935,1377,0,45,1
2021-07-06T00:00:00.000Z,3477,1393,901,1157,0,23,0,857,260,574,0,0,21,1,4335,1654,1476,1157,0,45,1
2021-07-07T00:00:00.000Z,3261,1324,792,1095,0,24,23,825,240,562,0,0,21,1,4087,1565,1353,1095,0,46,24
2021-07-08T00:00:00.000Z,3233,1296,864,1046,0,24,0,992,259,710,0,0,21,1,4226,1556,1575,1046,0,45,1
2021-07-09T00:00:00.000Z,2983,1132,901,903,0,24,21,798,240,535,0,0,21,1,3781,1373,1436,903,0,44,22
2021-07-10T00:00:00.000Z,1173,420,514,210,0,24,2,698,226,449,0,0,21,1,1873,647,964,210,0,46,3
2021-07-11T00:00:00.000Z,2155,395,1533,157,0,23,43,727,243,461,0,0,21,1,2882,639,1994,157,0,45,44
2021-07-12T00:00:00.000Z,3645,1343,1187,1088,0,23,0,876,276,577,0,0,21,1,4521,1620,1764,1088,0,45,1
2021-07-13T00:00:00.000Z,3471,1449,815,1181,0,23,0,862,290,548,0,0,21,1,4333,1740,1364,1181,0,44,1
2021-07-14T00:00:00.000Z,3312,1263,1007,1005,0,24,9,832,272,537,0,0,21,1,4145,1536,1544,1005,0,46,10
2021-07-15T00:00:00.000Z,2790,1221,556,987,0,23,0,922,250,649,0,0,21,1,3712,1471,1206,987,0,44,1
2021-07-16T00:00:00.000Z,2472,1073,537,836,0,24,0,815,242,550,0,0,21,1,3288,1315,1087,836,0,46,1
2021-07-17T00:00:00.000Z,1207,369,658,154,0,23,0,689,217,450,0,0,21,1,1897,586,1109,154,0,45,1
2021-07-18T00:00:00.000Z,2842,378,2201,167,0,23,70,712,229,460,0,0,21,1,3554,607,2662,167,0,45,71
2021-07-19T00:00:00.000Z,3702,1258,1400,1019,0,24,0,827,260,544,0,0,21,1,4530,1519,1944,1019,0,45,1
2021-07-20T00:00:00.000Z,3186,1269,878,1012,0,24,0,847,274,550,0,0,22,1,4034,1543,1429,1012,0,46,1
2021-07-21T00:00:00.000Z,3543,1207,1295,983,0,23,33,740,239,477,0,0,21,1,4284,1446,1773,983,0,44,34
2021-07-22T00:00:00.000Z,3546,1217,1300,964,0,24,38,980,269,687,0,0,22,1,4527,1487,1988,964,0,46,39
