Time,Usage for V02_n3
2022-04-03T10:00:00.000Z,37427
2022-04-03T12:00:00.000Z,37821
2022-04-03T14:00:00.000Z,58231
2022-04-03T16:00:00.000Z,175167
2022-04-03T18:00:00.000Z,158227
2022-04-03T20:00:00.000Z,35836
2022-04-03T22:00:00.000Z,42254
2022-04-04T00:00:00.000Z,41716
2022-04-04T02:00:00.000Z,41379
2022-04-04T04:00:00.000Z,39698
2022-04-04T06:00:00.000Z,33512
2022-04-04T08:00:00.000Z,41744
2022-04-04T10:00:00.000Z,36437
2022-04-04T12:00:00.000Z,35202
2022-04-04T14:00:00.000Z,59213
2022-04-04T16:00:00.000Z,173661
2022-04-04T18:00:00.000Z,154958
2022-04-04T20:00:00.000Z,49218
2022-04-04T22:00:00.000Z,49472
2022-04-05T00:00:00.000Z,39676
2022-04-05T02:00:00.000Z,33432
2022-04-05T04:00:00.000Z,36914
2022-04-05T06:00:00.000Z,36656
2022-04-05T08:00:00.000Z,38315
2022-04-05T10:00:00.000Z,37204
2022-04-05T12:00:00.000Z,32187
2022-04-05T14:00:00.000Z,61362
2022-04-05T16:00:00.000Z,173729
2022-04-05T18:00:00.000Z,160756
2022-04-05T20:00:00.000Z,58432
2022-04-05T22:00:00.000Z,54182
2022-04-06T00:00:00.000Z,37144
2022-04-06T02:00:00.000Z,38303
2022-04-06T04:00:00.000Z,37735
2022-04-06T06:00:00.000Z,37884
2022-04-06T08:00:00.000Z,36595
2022-04-06T10:00:00.000Z,38091
2022-04-06T12:00:00.000Z,38848
2022-04-06T14:00:00.000Z,53893
2022-04-06T16:00:00.000Z,201705
2022-04-06T18:00:00.000Z,177125
2022-04-06T20:00:00.000Z,67029
2022-04-06T22:00:00.000Z,53864
2022-04-07T00:00:00.000Z,40811
2022-04-07T02:00:00.000Z,34752
2022-04-07T04:00:00.000Z,37801
2022-04-07T06:00:00.000Z,33258
2022-04-07T08:00:00.000Z,38857
2022-04-07T10:00:00.000Z,38782
2022-04-07T12:00:00.000Z,35384
2022-04-07T14:00:00.000Z,63807
2022-04-07T16:00:00.000Z,171455
2022-04-07T18:00:00.000Z,160612
2022-04-07T20:00:00.000Z,54733
2022-04-07T22:00:00.000Z,49205
2022-04-08T00:00:00.000Z,40259
2022-04-08T02:00:00.000Z,35095
2022-04-08T04:00:00.000Z,38859
2022-04-08T06:00:00.000Z,33576
2022-04-08T08:00:00.000Z,40023
2022-04-08T10:00:00.000Z,39700
2022-04-08T12:00:00.000Z,34429
2022-04-08T14:00:00.000Z,64012
2022-04-08T16:00:00.000Z,96250
2022-04-08T18:00:00.000Z,194729
2022-04-08T20:00:00.000Z,103426
2022-04-08T22:00:00.000Z,69894
2022-04-09T00:00:00.000Z,42975
2022-04-09T02:00:00.000Z,39543
2022-04-09T04:00:00.000Z,48754
2022-04-09T06:00:00.000Z,52198
2022-04-09T08:00:00.000Z,52161
2022-04-09T10:00:00.000Z,57166
2022-04-09T12:00:00.000Z,37738
2022-04-09T14:00:00.000Z,62840
2022-04-09T16:00:00.000Z,202672
2022-04-09T18:00:00.000Z,93970
2022-04-09T20:00:00.000Z,61614
2022-04-09T22:00:00.000Z,62843
2022-04-10T00:00:00.000Z,65827
2022-04-10T02:00:00.000Z,59141
2022-04-10T04:00:00.000Z,49858
2022-04-10T06:00:00.000Z,37773
2022-04-10T08:00:00.000Z,40690
2022-04-10T10:00:00.000Z,35107
2022-04-10T12:00:00.000Z,35601
2022-04-10T14:00:00.000Z,62800
2022-04-10T16:00:00.000Z,172861
2022-04-10T18:00:00.000Z,157088
2022-04-10T20:00:00.000Z,42704
2022-04-10T22:00:00.000Z,46190
2022-04-11T00:00:00.000Z,46403
2022-04-11T02:00:00.000Z,35660
2022-04-11T04:00:00.000Z,40091
2022-04-11T06:00:00.000Z,35168
2022-04-11T08:00:00.000Z,43424
2022-04-11T10:00:00.000Z,37377
2022-04-11T12:00:00.000Z,34568
2022-04-11T14:00:00.000Z,60391
2022-04-11T16:00:00.000Z,175714
2022-04-11T18:00:00.000Z,154365
2022-04-11T20:00:00.000Z,48867
2022-04-11T22:00:00.000Z,38317
2022-04-12T00:00:00.000Z,39039
2022-04-12T02:00:00.000Z,33621
2022-04-12T04:00:00.000Z,37080
2022-04-12T06:00:00.000Z,35327
2022-04-12T08:00:00.000Z,34983
2022-04-12T10:00:00.000Z,34877
2022-04-12T12:00:00.000Z,35728
2022-04-12T14:00:00.000Z,62495
2022-04-12T16:00:00.000Z,170038
2022-04-12T18:00:00.000Z,154201
2022-04-12T20:00:00.000Z,54546
2022-04-12T22:00:00.000Z,41354
2022-04-13T00:00:00.000Z,40219
2022-04-13T02:00:00.000Z,37423
2022-04-13T04:00:00.000Z,32575
2022-04-13T06:00:00.000Z,36512
2022-04-13T08:00:00.000Z,
2022-04-13T10:00:00.000Z,
