Time,Data receive rate for S_n1,Data transmit rate for S_n1,Usage for S_n1
2022-03-30T20:00:00.000Z,11497,13127,24625
2022-03-30T22:00:00.000Z,8804,24593,33397
2022-03-31T00:00:00.000Z,10933,12638,23571
2022-03-31T02:00:00.000Z,19066,19375,38442
2022-03-31T04:00:00.000Z,743,808,1551
2022-03-31T06:00:00.000Z,3603,3312,6916
2022-03-31T08:00:00.000Z,4436,5048,9485
2022-03-31T10:00:00.000Z,3342,4436,7779
2022-03-31T12:00:00.000Z,5377,5682,11059
2022-03-31T14:00:00.000Z,1056,1091,2148
2022-03-31T16:00:00.000Z,745,662,1408
2022-03-31T18:00:00.000Z,3719,5643,9363
2022-03-31T20:00:00.000Z,3265,6334,9600
2022-03-31T22:00:00.000Z,7450,24390,31841
2022-04-01T00:00:00.000Z,8941,10618,19559
2022-04-01T02:00:00.000Z,21212,21807,43019
2022-04-01T04:00:00.000Z,791,705,1497
2022-04-01T06:00:00.000Z,3546,3918,7465
2022-04-01T08:00:00.000Z,5310,6932,12243
2022-04-01T10:00:00.000Z,5172,16462,21635
2022-04-01T12:00:00.000Z,3655,3097,6753
2022-04-01T14:00:00.000Z,1232,2187,3420
2022-04-01T16:00:00.000Z,662,517,1180
2022-04-01T18:00:00.000Z,4417,6936,11354
2022-04-01T20:00:00.000Z,3060,4635,7696
2022-04-01T22:00:00.000Z,1437,3102,4540
2022-04-02T00:00:00.000Z,13101,17221,30322
2022-04-02T02:00:00.000Z,207,601,809
2022-04-02T04:00:00.000Z,292,636,929
2022-04-02T06:00:00.000Z,407,351,759
2022-04-02T08:00:00.000Z,444,377,822
2022-04-02T10:00:00.000Z,457,428,886
2022-04-02T12:00:00.000Z,529,403,933
2022-04-02T14:00:00.000Z,409,1293,1704
2022-04-02T16:00:00.000Z,465,341,807
2022-04-02T18:00:00.000Z,2468,3915,6384
2022-04-02T20:00:00.000Z,2951,4033,6985
2022-04-02T22:00:00.000Z,1194,2480,3674
2022-04-03T00:00:00.000Z,17902,19447,37350
2022-04-03T02:00:00.000Z,6033,6152,12185
2022-04-03T04:00:00.000Z,213,168,382
2022-04-03T06:00:00.000Z,281,231,512
2022-04-03T08:00:00.000Z,491,362,854
2022-04-03T10:00:00.000Z,554,516,1070
2022-04-03T12:00:00.000Z,624,449,1074
2022-04-03T14:00:00.000Z,491,636,1128
2022-04-03T16:00:00.000Z,811,468,1280
2022-04-03T18:00:00.000Z,2659,5335,7994
2022-04-03T20:00:00.000Z,2816,3389,6206
2022-04-03T22:00:00.000Z,1775,13910,15686
2022-04-04T00:00:00.000Z,631,4576,5208
2022-04-04T02:00:00.000Z,18657,18901,37560
2022-04-04T04:00:00.000Z,12211,12374,24587
2022-04-04T06:00:00.000Z,5306,6995,12303
2022-04-04T08:00:00.000Z,13819,8044,21864
2022-04-04T10:00:00.000Z,6427,7890,14317
2022-04-04T12:00:00.000Z,6145,13354,19499
2022-04-04T14:00:00.000Z,1698,97362,99062
2022-04-04T16:00:00.000Z,896,17263,18160
2022-04-04T18:00:00.000Z,12097,23380,35478
2022-04-04T20:00:00.000Z,3667,7284,10952
2022-04-04T22:00:00.000Z,1734,54556,56291
2022-04-05T00:00:00.000Z,11174,22628,33802
2022-04-05T02:00:00.000Z,15165,15405,30571
2022-04-05T04:00:00.000Z,4687,4865,9553
2022-04-05T06:00:00.000Z,6003,49302,55306
2022-04-05T08:00:00.000Z,7439,55023,62463
2022-04-05T10:00:00.000Z,6897,8692,15589
2022-04-05T12:00:00.000Z,5763,16334,22097
2022-04-05T14:00:00.000Z,1871,96758,98630
2022-04-05T16:00:00.000Z,1139,1008,2148
2022-04-05T18:00:00.000Z,5648,8638,14287
2022-04-05T20:00:00.000Z,3638,5114,8754
2022-04-05T22:00:00.000Z,2004,14758,16762
2022-04-06T00:00:00.000Z,2854,7183,10038
2022-04-06T02:00:00.000Z,10145,10354,20500
2022-04-06T04:00:00.000Z,20122,20217,40340
2022-04-06T06:00:00.000Z,6196,8487,14683
2022-04-06T08:00:00.000Z,8256,9414,17671
2022-04-06T10:00:00.000Z,7685,8729,16414
2022-04-06T12:00:00.000Z,5941,7610,13551
2022-04-06T14:00:00.000Z,2180,2490,4671
2022-04-06T16:00:00.000Z,797,893,1692
2022-04-06T18:00:00.000Z,4420,8027,12447
2022-04-06T20:00:00.000Z,3385,4651,8037
2022-04-06T22:00:00.000Z,13805,30882,44687
2022-04-07T00:00:00.000Z,16812,18391,35204
2022-04-07T02:00:00.000Z,13369,13575,26944
2022-04-07T04:00:00.000Z,1014,1353,2368
2022-04-07T06:00:00.000Z,5893,6539,12433
2022-04-07T08:00:00.000Z,7171,9007,16179
2022-04-07T10:00:00.000Z,7083,7791,14874
2022-04-07T12:00:00.000Z,6107,7761,13870
2022-04-07T14:00:00.000Z,1937,3788,5726
2022-04-07T16:00:00.000Z,791,1017,1809
2022-04-07T18:00:00.000Z,3701,5495,9196
2022-04-07T20:00:00.000Z,3151,5143,8295
2022-04-07T22:00:00.000Z,1510,14200,15711
2022-04-08T00:00:00.000Z,683,15429,16113
2022-04-08T02:00:00.000Z,17377,17671,35049
2022-04-08T04:00:00.000Z,13104,13704,26809
2022-04-08T06:00:00.000Z,5560,7886,13447
2022-04-08T08:00:00.000Z,7385,10417,17802
2022-04-08T10:00:00.000Z,7712,10531,18243
2022-04-08T12:00:00.000Z,5262,6065,11328
2022-04-08T14:00:00.000Z,1490,2298,3789
2022-04-08T16:00:00.000Z,1181,847,2029
2022-04-08T18:00:00.000Z,4058,6170,10229
2022-04-08T20:00:00.000Z,2540,4602,7142
2022-04-08T22:00:00.000Z,1575,5797,7374
2022-04-09T00:00:00.000Z,28881,30771,59653
2022-04-09T02:00:00.000Z,37000,37448,74449
2022-04-09T04:00:00.000Z,329,259,589
2022-04-09T06:00:00.000Z,514,522,1037
2022-04-09T08:00:00.000Z,703,705,1409
2022-04-09T10:00:00.000Z,737,839,1577
2022-04-09T12:00:00.000Z,678,1234,1912
2022-04-09T14:00:00.000Z,415,768,1184
2022-04-09T16:00:00.000Z,462,500,963
2022-04-09T18:00:00.000Z,3061,4728,7790
2022-04-09T20:00:00.000Z,2970,4561,7531
2022-04-09T22:00:00.000Z,13398,95293,108692
2022-04-10T00:00:00.000Z,1796,15284,17080
2022-04-10T02:00:00.000Z,196,253,450
2022-04-10T04:00:00.000Z,380,251,632
2022-04-10T06:00:00.000Z,419,440,860
2022-04-10T08:00:00.000Z,511,449,961
2022-04-10T10:00:00.000Z,550,615,1165
2022-04-10T12:00:00.000Z,659,1267,1926
2022-04-10T14:00:00.000Z,557,881,1439
