Time,Ballooned memory for DM,Consumed for DM,Host consumed % for DM,Overhead consumed for DM,
2022-03-22T00:00:00.000Z,0,8272147,0,68,0
2022-03-23T00:00:00.000Z,0,8272176,0,68,0
2022-03-24T00:00:00.000Z,0,8272157,0,68,0
2022-03-25T00:00:00.000Z,0,8272123,0,68,0
2022-03-26T00:00:00.000Z,0,8272177,0,68,0
2022-03-27T00:00:00.000Z,0,8272142,0,68,0
2022-03-28T00:00:00.000Z,0,8272155,0,68,0
2022-03-29T00:00:00.000Z,0,8272162,0,68,0
2022-03-30T00:00:00.000Z,0,8272133,0,68,0
2022-03-31T00:00:00.000Z,0,8272497,0,68,0
2022-04-01T00:00:00.000Z,0,8274220,0,68,0
2022-04-02T00:00:00.000Z,0,8274193,0,68,0
2022-04-03T00:00:00.000Z,0,8273027,0,68,0
2022-04-04T00:00:00.000Z,0,8272124,0,68,0
2022-04-05T00:00:00.000Z,0,8272163,0,68,0
2022-04-06T00:00:00.000Z,0,8272130,0,68,0
2022-04-07T00:00:00.000Z,0,8272180,0,68,0
2022-04-08T00:00:00.000Z,0,8272155,0,68,0
2022-04-09T00:00:00.000Z,0,8274262,0,68,0
2022-04-10T00:00:00.000Z,0,8274230,0,68,0
2022-04-11T00:00:00.000Z,0,8276348,0,68,0
2022-04-12T00:00:00.000Z,0,8274438,0,68,0
2022-04-13T00:00:00.000Z,,,,,
