Time,Read rate for S_n1,Write rate for S_n1,Usage for S_n1
2021-10-31T00:00:00.000Z,2615,7651,10268
2021-11-01T00:00:00.000Z,6967,32008,38975
2021-11-02T00:00:00.000Z,4851,33206,38058
2021-11-03T00:00:00.000Z,8428,32762,41191
2021-11-04T00:00:00.000Z,7618,9949,17567
2021-11-05T00:00:00.000Z,9113,33053,42167
2021-11-06T00:00:00.000Z,6300,9241,15542
2021-11-07T00:00:00.000Z,3015,8146,11162
2021-11-08T00:00:00.000Z,6997,32376,39373
2021-11-09T00:00:00.000Z,4345,31380,35726
2021-11-10T00:00:00.000Z,10319,11232,21551
2021-11-11T00:00:00.000Z,6774,35020,41794
2021-11-12T00:00:00.000Z,3776,31917,35691
2021-11-13T00:00:00.000Z,5672,9403,15076
2021-11-14T00:00:00.000Z,41200,11110,52311
2021-11-15T00:00:00.000Z,12267,32678,44946
2021-11-16T00:00:00.000Z,14240,38113,52353
2021-11-17T00:00:00.000Z,13849,34749,48595
2021-11-18T00:00:00.000Z,22745,33114,55860
2021-11-19T00:00:00.000Z,9913,23647,33561
2021-11-20T00:00:00.000Z,23237,8597,31835
2021-11-21T00:00:00.000Z,5457,7931,13388
2021-11-22T00:00:00.000Z,11005,9181,20187
2021-11-23T00:00:00.000Z,48702,8368,57070
2021-11-24T00:00:00.000Z,61394,10864,72258
2021-11-25T00:00:00.000Z,45716,12242,57958
2021-11-26T00:00:00.000Z,2262,4463,6725
2021-11-27T00:00:00.000Z,992,2818,3810
2021-11-28T00:00:00.000Z,2575,3168,5744
2021-11-29T00:00:00.000Z,1358,4116,5474
2021-11-30T00:00:00.000Z,2052,11556,13609
2021-12-01T00:00:00.000Z,62053,10247,72301
2021-12-02T00:00:00.000Z,83683,37603,121286
2021-12-03T00:00:00.000Z,14039,14401,28441
2021-12-04T00:00:00.000Z,6123,9451,15575
2021-12-05T00:00:00.000Z,5513,10246,15760
2021-12-06T00:00:00.000Z,10089,14550,24639
2021-12-07T00:00:00.000Z,53856,58577,112435
2021-12-08T00:00:00.000Z,23532,57946,81479
2021-12-09T00:00:00.000Z,46194,24744,70939
2021-12-10T00:00:00.000Z,57009,16293,73303
2021-12-11T00:00:00.000Z,68709,10336,79045
2021-12-12T00:00:00.000Z,10227,9899,20127
2021-12-13T00:00:00.000Z,10627,13152,23780
2021-12-14T00:00:00.000Z,12607,17287,29895
2021-12-15T00:00:00.000Z,11070,18846,29917
2021-12-16T00:00:00.000Z,14858,14472,29330
2021-12-17T00:00:00.000Z,22780,18753,41534
2021-12-18T00:00:00.000Z,26325,16719,43044
2021-12-19T00:00:00.000Z,18528,16210,34739
2021-12-20T00:00:00.000Z,8404,12893,21297
2021-12-21T00:00:00.000Z,24225,20794,45019
2021-12-22T00:00:00.000Z,31880,16496,48377
2021-12-23T00:00:00.000Z,23031,14584,37616
2021-12-24T00:00:00.000Z,5861,14345,20207
2021-12-25T00:00:00.000Z,21666,24081,45747
2021-12-26T00:00:00.000Z,26969,25006,51975
2021-12-27T00:00:00.000Z,31595,31554,63149
2021-12-28T00:00:00.000Z,32877,34637,67514
2021-12-29T00:00:00.000Z,41719,25725,67444
2021-12-30T00:00:00.000Z,24019,18770,42790
2021-12-31T00:00:00.000Z,13797,11484,25282
2022-01-01T00:00:00.000Z,8817,13968,22786
2022-01-02T00:00:00.000Z,32121,33152,65274
2022-01-03T00:00:00.000Z,35443,39415,74859
2022-01-04T00:00:00.000Z,14602,14563,29165
2022-01-05T00:00:00.000Z,11552,16511,28063
