Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2022-03-28T14:00:00.000Z,2181,4039,1857
2022-03-28T16:00:00.000Z,824,1330,505
2022-03-28T18:00:00.000Z,4785,10720,5934
2022-03-28T20:00:00.000Z,5189,11302,6112
2022-03-28T22:00:00.000Z,3908,7828,3919
2022-03-29T00:00:00.000Z,8147,20812,12665
2022-03-29T02:00:00.000Z,8125,20731,12605
2022-03-29T04:00:00.000Z,7915,21673,13757
2022-03-29T06:00:00.000Z,3260,7903,4642
2022-03-29T08:00:00.000Z,10782,19834,9050
2022-03-29T10:00:00.000Z,6608,16569,9960
2022-03-29T12:00:00.000Z,3863,9543,5679
2022-03-29T14:00:00.000Z,6682,15612,8929
2022-03-29T16:00:00.000Z,2804,6441,3635
2022-03-29T18:00:00.000Z,7571,17968,10397
2022-03-29T20:00:00.000Z,1198,1996,798
2022-03-29T22:00:00.000Z,6318,14582,8263
2022-03-30T00:00:00.000Z,11842,29539,17697
2022-03-30T02:00:00.000Z,1739,3764,2024
2022-03-30T04:00:00.000Z,1614,2879,1264
2022-03-30T06:00:00.000Z,3456,7109,3652
2022-03-30T08:00:00.000Z,4026,8669,4643
2022-03-30T10:00:00.000Z,1759,3176,1417
2022-03-30T12:00:00.000Z,2068,3123,1055
2022-03-30T14:00:00.000Z,832,18123,17290
2022-03-30T16:00:00.000Z,985,1703,717
2022-03-30T18:00:00.000Z,790,1253,463
2022-03-30T20:00:00.000Z,1299,2240,940
2022-03-30T22:00:00.000Z,2117,3920,1802
2022-03-31T00:00:00.000Z,3147,9624,6477
2022-03-31T02:00:00.000Z,2218,4614,2396
2022-03-31T04:00:00.000Z,8405,23518,15113
2022-03-31T06:00:00.000Z,3467,7215,3747
2022-03-31T08:00:00.000Z,2390,4934,2542
2022-03-31T10:00:00.000Z,4202,9389,5186
2022-03-31T12:00:00.000Z,3002,5637,2634
2022-03-31T14:00:00.000Z,1745,3819,2073
2022-03-31T16:00:00.000Z,1820,3972,2151
2022-03-31T18:00:00.000Z,1779,3395,1615
2022-03-31T20:00:00.000Z,2526,4855,2328
2022-03-31T22:00:00.000Z,2161,4023,1860
2022-04-01T00:00:00.000Z,3292,7675,4382
2022-04-01T02:00:00.000Z,4416,10838,6421
2022-04-01T04:00:00.000Z,9598,26056,16457
2022-04-01T06:00:00.000Z,5749,14922,9173
2022-04-01T08:00:00.000Z,6284,14376,8091
2022-04-01T10:00:00.000Z,1987,4267,2279
2022-04-01T12:00:00.000Z,2134,3245,1110
2022-04-01T14:00:00.000Z,1137,2010,872
2022-04-01T16:00:00.000Z,1059,1720,661
2022-04-01T18:00:00.000Z,1139,2126,986
2022-04-01T20:00:00.000Z,2029,3611,1582
2022-04-01T22:00:00.000Z,2691,5239,2547
2022-04-02T00:00:00.000Z,1685,4368,2682
2022-04-02T02:00:00.000Z,1005,1584,578
2022-04-02T04:00:00.000Z,4895,9665,4769
2022-04-02T06:00:00.000Z,1421,2476,1054
2022-04-02T08:00:00.000Z,1205,2115,909
2022-04-02T10:00:00.000Z,860,1702,841
2022-04-02T12:00:00.000Z,1209,2257,1047
2022-04-02T14:00:00.000Z,1577,3039,1462
2022-04-02T16:00:00.000Z,1795,3374,1578
2022-04-02T18:00:00.000Z,1689,2994,1304
2022-04-02T20:00:00.000Z,1562,2898,1335
2022-04-02T22:00:00.000Z,2103,4037,1932
2022-04-03T00:00:00.000Z,2846,6026,3179
2022-04-03T02:00:00.000Z,1274,2406,1132
2022-04-03T04:00:00.000Z,993,1599,605
2022-04-03T06:00:00.000Z,1222,1980,757
2022-04-03T08:00:00.000Z,1334,2294,960
2022-04-03T10:00:00.000Z,1479,2545,1064
2022-04-03T12:00:00.000Z,1073,1703,629
2022-04-03T14:00:00.000Z,1112,1946,832
2022-04-03T16:00:00.000Z,970,1494,524
2022-04-03T18:00:00.000Z,1457,2663,1205
2022-04-03T20:00:00.000Z,1509,2720,1210
2022-04-03T22:00:00.000Z,2362,4285,1923
2022-04-04T00:00:00.000Z,1670,2665,994
2022-04-04T02:00:00.000Z,1353,2275,922
2022-04-04T04:00:00.000Z,1956,3930,1974
2022-04-04T06:00:00.000Z,2430,5288,2858
2022-04-04T08:00:00.000Z,1839,3469,1629
2022-04-04T10:00:00.000Z,4327,8743,4416
2022-04-04T12:00:00.000Z,3833,7671,3837
2022-04-04T14:00:00.000Z,1674,3047,1373
2022-04-04T16:00:00.000Z,884,1299,413
2022-04-04T18:00:00.000Z,1245,2148,902
2022-04-04T20:00:00.000Z,1708,3123,1414
2022-04-04T22:00:00.000Z,1751,3345,1593
2022-04-05T00:00:00.000Z,3433,8445,5011
2022-04-05T02:00:00.000Z,1216,2366,1149
2022-04-05T04:00:00.000Z,989,1710,721
2022-04-05T06:00:00.000Z,1313,2511,1198
2022-04-05T08:00:00.000Z,1818,3648,1829
2022-04-05T10:00:00.000Z,2256,4851,2594
2022-04-05T12:00:00.000Z,1787,3377,1589
2022-04-05T14:00:00.000Z,1368,2517,1148
2022-04-05T16:00:00.000Z,1298,2491,1193
2022-04-05T18:00:00.000Z,1332,2374,1041
2022-04-05T20:00:00.000Z,1278,2214,935
2022-04-05T22:00:00.000Z,1321,2214,892
2022-04-06T00:00:00.000Z,1693,3657,1963
2022-04-06T02:00:00.000Z,2412,5705,3292
2022-04-06T04:00:00.000Z,7064,18948,11883
2022-04-06T06:00:00.000Z,3408,7080,3672
2022-04-06T08:00:00.000Z,5159,12485,7325
2022-04-06T10:00:00.000Z,2933,6259,3326
2022-04-06T12:00:00.000Z,1239,2234,994
2022-04-06T14:00:00.000Z,999,2003,1004
2022-04-06T16:00:00.000Z,2329,19857,17527
2022-04-06T18:00:00.000Z,1258,2328,1069
2022-04-06T20:00:00.000Z,1984,3754,1769
2022-04-06T22:00:00.000Z,2812,5680,2867
2022-04-07T00:00:00.000Z,1167,1953,785
2022-04-07T02:00:00.000Z,1164,2467,1303
2022-04-07T04:00:00.000Z,1696,3168,1471
2022-04-07T06:00:00.000Z,2848,6003,3155
2022-04-07T08:00:00.000Z,2469,5409,2940
2022-04-07T10:00:00.000Z,2355,4890,2535
2022-04-07T12:00:00.000Z,3012,6284,3271
2022-04-07T14:00:00.000Z,2391,4601,2210
2022-04-07T16:00:00.000Z,1546,2868,1322
2022-04-07T18:00:00.000Z,1106,2303,1197
2022-04-07T20:00:00.000Z,17917,19151,1233
2022-04-07T22:00:00.000Z,22529,24087,1557
2022-04-08T00:00:00.000Z,5068,5976,908
2022-04-08T02:00:00.000Z,1286,2497,1210
2022-04-08T04:00:00.000Z,9232,24865,15633
2022-04-08T06:00:00.000Z,1987,4205,2217
2022-04-08T08:00:00.000Z,1777,3732,1954
2022-04-08T10:00:00.000Z,2026,4024,1998
2022-04-08T12:00:00.000Z,2081,4058,1976
2022-04-08T14:00:00.000Z,1843,3422,1578
2022-04-08T16:00:00.000Z,1437,2813,1374
2022-04-08T18:00:00.000Z,1149,1888,738
2022-04-08T20:00:00.000Z,10019,11194,1173
2022-04-08T22:00:00.000Z,1817,3055,1237
2022-04-09T00:00:00.000Z,3522,8166,4644
2022-04-09T02:00:00.000Z,1100,1926,826
2022-04-09T04:00:00.000Z,6530,17736,11206
2022-04-09T06:00:00.000Z,1101,1963,861
2022-04-09T08:00:00.000Z,789,1309,519
2022-04-09T10:00:00.000Z,874,1451,576
2022-04-09T12:00:00.000Z,985,1508,522
2022-04-09T14:00:00.000Z,1216,2039,822
2022-04-09T16:00:00.000Z,1139,1880,741
2022-04-09T18:00:00.000Z,1113,1860,746
2022-04-09T20:00:00.000Z,6261,7437,1175
2022-04-09T22:00:00.000Z,2298,4607,2309
2022-04-10T00:00:00.000Z,2756,5839,3081
2022-04-10T02:00:00.000Z,1086,1966,879
2022-04-10T04:00:00.000Z,837,1257,419
2022-04-10T06:00:00.000Z,904,1449,545
2022-04-10T08:00:00.000Z,1082,1990,908
2022-04-10T10:00:00.000Z,1420,2670,1249
2022-04-10T12:00:00.000Z,1507,2894,1385
2022-04-10T14:00:00.000Z,1404,2293,889
2022-04-10T16:00:00.000Z,1161,2024,862
2022-04-10T18:00:00.000Z,1174,2284,1109
2022-04-10T20:00:00.000Z,5869,6759,890
2022-04-10T22:00:00.000Z,2154,3909,1755
2022-04-11T00:00:00.000Z,1734,3477,1743
2022-04-11T02:00:00.000Z,1735,3076,1340
2022-04-11T04:00:00.000Z,1034,1891,856
2022-04-11T06:00:00.000Z,3858,9335,5476
2022-04-11T08:00:00.000Z,4099,9040,4941
2022-04-11T10:00:00.000Z,2870,6024,3154
2022-04-11T12:00:00.000Z,4244,8792,4548
2022-04-11T14:00:00.000Z,1535,3358,1822
2022-04-11T16:00:00.000Z,1314,2199,885
2022-04-11T18:00:00.000Z,1230,2390,1158
2022-04-11T20:00:00.000Z,1835,3320,1484
2022-04-11T22:00:00.000Z,1580,2906,1325
2022-04-12T00:00:00.000Z,2562,5718,3156
2022-04-12T02:00:00.000Z,1035,1777,742
2022-04-12T04:00:00.000Z,1496,2573,1077
2022-04-12T06:00:00.000Z,3165,6526,3360
2022-04-12T08:00:00.000Z,3856,8717,4861
2022-04-12T10:00:00.000Z,3300,6976,3675
2022-04-12T12:00:00.000Z,3287,8180,4892
2022-04-12T14:00:00.000Z,1951,3753,1801
2022-04-12T16:00:00.000Z,1656,2962,1305
2022-04-12T18:00:00.000Z,1149,2009,859
2022-04-12T20:00:00.000Z,13928,15241,1313
2022-04-12T22:00:00.000Z,5270,7047,1777
2022-04-13T00:00:00.000Z,5810,14503,8691
2022-04-13T02:00:00.000Z,2745,6205,3459
2022-04-13T04:00:00.000Z,6806,14275,7467
2022-04-13T06:00:00.000Z,,,
2022-04-13T08:00:00.000Z,,,
