Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2022-03-23T04:00:00.000Z,98198864,0,1230309760,1204312450,1192803,0
2022-03-23T06:00:00.000Z,147843056,0,1230432260,1204312960,1191515,0
2022-03-23T08:00:00.000Z,156390400,0,1230323200,1204312830,1190371,0
2022-03-23T10:00:00.000Z,167204848,0,1230759550,1204456830,1191767,0
2022-03-23T12:00:00.000Z,154724272,0,1230679420,1204575620,1191538,0
2022-03-23T14:00:00.000Z,131390768,0,1230594300,1204580860,1191290,0
2022-03-23T16:00:00.000Z,110146072,0,1230587140,1204583040,1191262,0
2022-03-23T18:00:00.000Z,108468704,0,1230590210,1204583040,1188954,0
2022-03-23T20:00:00.000Z,97747488,0,1230595970,1204583040,1191317,0
2022-03-23T22:00:00.000Z,105060928,0,1230610050,1204585470,1191717,0
2022-03-24T00:00:00.000Z,99709960,0,1230630910,1204587520,1191693,0
2022-03-24T02:00:00.000Z,97969920,0,1230652030,1204588030,1191235,0
2022-03-24T04:00:00.000Z,100599424,0,1230637820,1204593660,1191184,0
2022-03-24T06:00:00.000Z,152554528,0,1230622460,1204593920,1190763,0
2022-03-24T08:00:00.000Z,161222544,0,1230644220,1204597760,1188732,0
2022-03-24T10:00:00.000Z,147539872,0,1230668160,1204604420,1192354,0
2022-03-24T12:00:00.000Z,160121024,0,1230653820,1204606210,1191483,0
2022-03-24T14:00:00.000Z,135952528,0,1230689920,1204624510,1192843,0
2022-03-24T16:00:00.000Z,112512928,0,1230688510,1204617980,1192974,0
2022-03-24T18:00:00.000Z,109944352,0,1230713340,1204619260,1192225,0
2022-03-24T20:00:00.000Z,107339760,0,1230672000,1204619140,1192832,0
2022-03-24T22:00:00.000Z,103921968,0,1230742910,1204619260,1190601,0
2022-03-25T00:00:00.000Z,100653480,0,1230655620,1204619140,1190794,0
2022-03-25T02:00:00.000Z,102412432,0,1230693500,1204619390,1191551,0
2022-03-25T04:00:00.000Z,97963512,0,1230677760,1204621570,1190982,0
2022-03-25T06:00:00.000Z,147016320,0,1230669060,1204623870,1188780,0
2022-03-25T08:00:00.000Z,157451904,0,1230716670,1204627460,1190378,0
2022-03-25T10:00:00.000Z,149510656,0,1230924420,1204630660,1189425,0
2022-03-25T12:00:00.000Z,158247168,0,1230676480,1204629380,1190573,0
2022-03-25T14:00:00.000Z,131109032,0,1230688770,1204629250,1189969,0
2022-03-25T16:00:00.000Z,110521112,0,1230658050,1204631040,1189989,0
2022-03-25T18:00:00.000Z,108686720,0,1230645500,1204632960,1191109,0
2022-03-25T20:00:00.000Z,105640400,0,1230658180,1204633340,1189493,0
2022-03-25T22:00:00.000Z,95432144,0,1230682370,1204633730,1188893,0
2022-03-26T00:00:00.000Z,83930744,0,1230683520,1204633730,1191511,0
2022-03-26T02:00:00.000Z,106421624,0,1230711810,1204635260,1189598,0
2022-03-26T04:00:00.000Z,97434136,0,1230705540,1204637570,1190757,0
2022-03-26T06:00:00.000Z,112093272,0,1230685060,1204638980,1190632,0
2022-03-26T08:00:00.000Z,87959192,0,1230685950,1204641150,1191092,0
2022-03-26T10:00:00.000Z,89694216,0,1230678530,1204642940,1191290,0
2022-03-26T12:00:00.000Z,83498272,0,1230815100,1204786940,1190857,0
2022-03-26T14:00:00.000Z,93014408,0,1230977410,1204945020,1190676,0
2022-03-26T16:00:00.000Z,87394736,0,1230976510,1204945150,1188755,0
2022-03-26T18:00:00.000Z,89156552,0,1230981500,1204945410,1190104,0
2022-03-26T20:00:00.000Z,87730432,0,1230977920,1204945150,1188723,0
2022-03-26T22:00:00.000Z,83796624,0,1231064320,1204945920,1189272,0
2022-03-27T00:00:00.000Z,84326368,0,1231014140,1204947970,1191651,0
2022-03-27T02:00:00.000Z,69080024,0,1231003650,1204949500,1190276,0
2022-03-27T04:00:00.000Z,74666888,0,1231035900,1204949890,1190838,0
