Time,Usage in MHz for V03,Usage for V03,
2022-03-18T20:00:00.000Z,6946,6,89
2022-03-18T22:00:00.000Z,6181,6,13
2022-03-19T00:00:00.000Z,5779,5,73
2022-03-19T02:00:00.000Z,6682,6,62
2022-03-19T04:00:00.000Z,5740,5,69
2022-03-19T06:00:00.000Z,7295,7,23
2022-03-19T08:00:00.000Z,6973,6,91
2022-03-19T10:00:00.000Z,7069,7,1
2022-03-19T12:00:00.000Z,6795,6,74
2022-03-19T14:00:00.000Z,6980,6,92
2022-03-19T16:00:00.000Z,6611,6,55
2022-03-19T18:00:00.000Z,6683,6,62
2022-03-19T20:00:00.000Z,6137,6,8
2022-03-19T22:00:00.000Z,6175,6,12
2022-03-20T00:00:00.000Z,5462,5,41
2022-03-20T02:00:00.000Z,6450,6,39
2022-03-20T04:00:00.000Z,4940,4,9
2022-03-20T06:00:00.000Z,5891,5,84
2022-03-20T08:00:00.000Z,6140,6,9
2022-03-20T10:00:00.000Z,6857,6,8
2022-03-20T12:00:00.000Z,6729,6,67
2022-03-20T14:00:00.000Z,7604,7,54
2022-03-20T16:00:00.000Z,7103,7,4
2022-03-20T18:00:00.000Z,7643,7,58
2022-03-20T20:00:00.000Z,7464,7,4
2022-03-20T22:00:00.000Z,6635,6,58
2022-03-21T00:00:00.000Z,5510,5,46
2022-03-21T02:00:00.000Z,5856,5,8
2022-03-21T04:00:00.000Z,5955,5,9
2022-03-21T06:00:00.000Z,21518,21,34
2022-03-21T08:00:00.000Z,31451,31,2
2022-03-21T10:00:00.000Z,31580,31,32
2022-03-21T12:00:00.000Z,31247,30,99
2022-03-21T14:00:00.000Z,18879,18,72
2022-03-21T16:00:00.000Z,10468,10,38
2022-03-21T18:00:00.000Z,9135,9,6
2022-03-21T20:00:00.000Z,8402,8,33
2022-03-21T22:00:00.000Z,7079,7,2
2022-03-22T00:00:00.000Z,5673,5,62
2022-03-22T02:00:00.000Z,5957,5,9
2022-03-22T04:00:00.000Z,6033,5,98
2022-03-22T06:00:00.000Z,22151,21,97
2022-03-22T08:00:00.000Z,29898,29,66
2022-03-22T10:00:00.000Z,31671,31,41
2022-03-22T12:00:00.000Z,29960,29,72
2022-03-22T14:00:00.000Z,15830,15,7
2022-03-22T16:00:00.000Z,9410,9,33
2022-03-22T18:00:00.000Z,8759,8,68
2022-03-22T20:00:00.000Z,8676,8,6
2022-03-22T22:00:00.000Z,6998,6,94
2022-03-23T00:00:00.000Z,5493,5,44
2022-03-23T02:00:00.000Z,6219,6,16
2022-03-23T04:00:00.000Z,6162,6,11
2022-03-23T06:00:00.000Z,22514,22,33
2022-03-23T08:00:00.000Z,30575,30,33
2022-03-23T10:00:00.000Z,34699,34,42
2022-03-23T12:00:00.000Z,29314,29,8
2022-03-23T14:00:00.000Z,17179,17,4
2022-03-23T16:00:00.000Z,9511,9,43
2022-03-23T18:00:00.000Z,9168,9,9
2022-03-23T20:00:00.000Z,7595,7,53
2022-03-23T22:00:00.000Z,6600,6,54
2022-03-24T00:00:00.000Z,5434,5,39
2022-03-24T02:00:00.000Z,6253,6,2
2022-03-24T04:00:00.000Z,6041,5,99
2022-03-24T06:00:00.000Z,20163,20,
2022-03-24T08:00:00.000Z,28044,27,82
2022-03-24T10:00:00.000Z,29613,29,37
2022-03-24T12:00:00.000Z,28790,28,56
2022-03-24T14:00:00.000Z,16488,16,35
2022-03-24T16:00:00.000Z,9627,9,55
2022-03-24T18:00:00.000Z,9044,8,97
2022-03-24T20:00:00.000Z,8482,8,41
2022-03-24T22:00:00.000Z,7330,7,27
2022-03-25T00:00:00.000Z,5787,5,74
2022-03-25T02:00:00.000Z,6623,6,57
2022-03-25T04:00:00.000Z,6301,6,25
2022-03-25T06:00:00.000Z,20499,20,33
2022-03-25T08:00:00.000Z,28174,27,95
2022-03-25T10:00:00.000Z,29563,29,32
2022-03-25T12:00:00.000Z,26925,26,71
2022-03-25T14:00:00.000Z,13492,13,38
2022-03-25T16:00:00.000Z,7854,7,79
2022-03-25T18:00:00.000Z,7415,7,35
2022-03-25T20:00:00.000Z,6819,6,76
2022-03-25T22:00:00.000Z,6046,5,99
2022-03-26T00:00:00.000Z,5678,5,63
2022-03-26T02:00:00.000Z,7987,7,92
2022-03-26T04:00:00.000Z,5139,5,9
2022-03-26T06:00:00.000Z,6681,6,62
2022-03-26T08:00:00.000Z,6450,6,39
2022-03-26T10:00:00.000Z,6687,6,63
2022-03-26T12:00:00.000Z,6398,6,34
2022-03-26T14:00:00.000Z,6869,6,81
2022-03-26T16:00:00.000Z,6131,6,8
2022-03-26T18:00:00.000Z,7137,7,8
2022-03-26T20:00:00.000Z,9952,9,87
2022-03-26T22:00:00.000Z,9097,9,2
2022-03-27T00:00:00.000Z,9320,9,24
2022-03-27T02:00:00.000Z,9117,9,4
2022-03-27T04:00:00.000Z,8635,8,56
2022-03-27T06:00:00.000Z,8804,8,73
2022-03-27T08:00:00.000Z,9675,9,59
2022-03-27T10:00:00.000Z,10078,9,99
2022-03-27T12:00:00.000Z,10781,10,69
2022-03-27T14:00:00.000Z,10348,10,26
2022-03-27T16:00:00.000Z,10441,10,35
2022-03-27T18:00:00.000Z,13008,12,9
2022-03-27T20:00:00.000Z,10577,10,49
2022-03-27T22:00:00.000Z,9420,9,34
2022-03-28T00:00:00.000Z,9027,8,95
2022-03-28T02:00:00.000Z,9451,9,37
2022-03-28T04:00:00.000Z,14730,14,61
2022-03-28T06:00:00.000Z,30795,30,55
2022-03-28T08:00:00.000Z,39008,38,69
2022-03-28T10:00:00.000Z,38951,38,64
2022-03-28T12:00:00.000Z,32482,32,22
2022-03-28T14:00:00.000Z,17051,16,91
2022-03-28T16:00:00.000Z,13538,13,43
2022-03-28T18:00:00.000Z,12607,12,5
2022-03-28T20:00:00.000Z,11202,11,11
2022-03-28T22:00:00.000Z,9378,9,3
2022-03-29T00:00:00.000Z,8953,8,88
2022-03-29T02:00:00.000Z,9411,9,33
2022-03-29T04:00:00.000Z,14516,14,4
2022-03-29T06:00:00.000Z,33059,32,79
2022-03-29T08:00:00.000Z,36668,36,37
2022-03-29T10:00:00.000Z,34672,34,39
2022-03-29T12:00:00.000Z,32034,31,77
2022-03-29T14:00:00.000Z,18020,17,87
2022-03-29T16:00:00.000Z,15793,15,66
2022-03-29T18:00:00.000Z,14145,14,3
2022-03-29T20:00:00.000Z,11145,11,5
2022-03-29T22:00:00.000Z,10036,9,95
2022-03-30T00:00:00.000Z,9772,9,69
2022-03-30T02:00:00.000Z,9361,9,28
2022-03-30T04:00:00.000Z,15927,15,8
2022-03-30T06:00:00.000Z,34323,34,5
2022-03-30T08:00:00.000Z,39066,38,75
2022-03-30T10:00:00.000Z,43504,43,15
2022-03-30T12:00:00.000Z,36353,36,6
2022-03-30T14:00:00.000Z,16452,16,32
2022-03-30T16:00:00.000Z,14128,14,1
2022-03-30T18:00:00.000Z,14005,13,89
2022-03-30T20:00:00.000Z,12779,12,67
2022-03-30T22:00:00.000Z,11070,10,98
2022-03-31T00:00:00.000Z,10415,10,33
2022-03-31T02:00:00.000Z,10973,10,88
2022-03-31T04:00:00.000Z,18444,18,29
2022-03-31T06:00:00.000Z,40165,39,84
2022-03-31T08:00:00.000Z,44252,43,9
2022-03-31T10:00:00.000Z,44767,44,41
2022-03-31T12:00:00.000Z,34484,34,21
2022-03-31T14:00:00.000Z,13161,13,5
2022-03-31T16:00:00.000Z,12649,12,54
2022-03-31T18:00:00.000Z,12531,12,43
2022-03-31T20:00:00.000Z,10967,10,87
2022-03-31T22:00:00.000Z,7516,7,45
2022-04-01T00:00:00.000Z,6977,6,92
2022-04-01T02:00:00.000Z,6909,6,85
2022-04-01T04:00:00.000Z,12881,12,77
2022-04-01T06:00:00.000Z,38884,38,57
2022-04-01T08:00:00.000Z,51559,51,14
2022-04-01T10:00:00.000Z,42734,42,39
2022-04-01T12:00:00.000Z,28518,28,29
2022-04-01T14:00:00.000Z,11157,11,6
2022-04-01T16:00:00.000Z,8859,8,78
2022-04-01T18:00:00.000Z,8837,8,76
2022-04-01T20:00:00.000Z,7611,7,55
2022-04-01T22:00:00.000Z,6912,6,85
2022-04-02T00:00:00.000Z,7694,7,63
2022-04-02T02:00:00.000Z,7276,7,21
2022-04-02T04:00:00.000Z,6518,6,46
2022-04-02T06:00:00.000Z,10331,10,24
2022-04-02T08:00:00.000Z,8348,8,28
2022-04-02T10:00:00.000Z,8149,8,8
2022-04-02T12:00:00.000Z,7834,7,77
2022-04-02T14:00:00.000Z,7768,7,7
2022-04-02T16:00:00.000Z,7848,7,78
2022-04-02T18:00:00.000Z,7381,7,32
2022-04-02T20:00:00.000Z,7025,6,96
2022-04-02T22:00:00.000Z,6668,6,61
2022-04-03T00:00:00.000Z,7229,7,17
2022-04-03T02:00:00.000Z,6605,6,55
2022-04-03T04:00:00.000Z,6572,6,51
2022-04-03T06:00:00.000Z,7371,7,31
2022-04-03T08:00:00.000Z,8191,8,12
2022-04-03T10:00:00.000Z,8703,8,63
2022-04-03T12:00:00.000Z,8838,8,76
2022-04-03T14:00:00.000Z,9571,9,49
2022-04-03T16:00:00.000Z,9513,9,43
2022-04-03T18:00:00.000Z,10245,10,16
2022-04-03T20:00:00.000Z,8888,8,81
2022-04-03T22:00:00.000Z,7539,7,47
2022-04-04T00:00:00.000Z,7068,7,1
2022-04-04T02:00:00.000Z,6496,6,44
2022-04-04T04:00:00.000Z,14713,14,59
2022-04-04T06:00:00.000Z,46790,46,41
2022-04-04T08:00:00.000Z,54115,53,68
2022-04-04T10:00:00.000Z,50779,50,37
2022-04-04T12:00:00.000Z,41147,40,82
2022-04-04T14:00:00.000Z,18403,18,25
2022-04-04T16:00:00.000Z,13947,13,83
2022-04-04T18:00:00.000Z,12598,12,49
2022-04-04T20:00:00.000Z,10086,10,
2022-04-04T22:00:00.000Z,7510,7,45
2022-04-05T00:00:00.000Z,7564,7,5
2022-04-05T02:00:00.000Z,6949,6,89
2022-04-05T04:00:00.000Z,14782,14,66
2022-04-05T06:00:00.000Z,32697,32,43
2022-04-05T08:00:00.000Z,38788,38,48
2022-04-05T10:00:00.000Z,38005,37,7
2022-04-05T12:00:00.000Z,31249,31,
2022-04-05T14:00:00.000Z,14871,14,75
2022-04-05T16:00:00.000Z,10613,10,52
2022-04-05T18:00:00.000Z,10832,10,74
2022-04-05T20:00:00.000Z,8913,8,84
2022-04-05T22:00:00.000Z,6908,6,85
2022-04-06T00:00:00.000Z,6613,6,56
2022-04-06T02:00:00.000Z,6725,6,67
2022-04-06T04:00:00.000Z,13745,13,63
2022-04-06T06:00:00.000Z,30789,30,54
2022-04-06T08:00:00.000Z,37077,36,78
2022-04-06T10:00:00.000Z,35288,35,
2022-04-06T12:00:00.000Z,30287,30,4
2022-04-06T14:00:00.000Z,17889,17,74
2022-04-06T16:00:00.000Z,11971,11,87
2022-04-06T18:00:00.000Z,11943,11,84
2022-04-06T20:00:00.000Z,9968,9,88
2022-04-06T22:00:00.000Z,7303,7,24
2022-04-07T00:00:00.000Z,7010,6,95
2022-04-07T02:00:00.000Z,6612,6,55
2022-04-07T04:00:00.000Z,14525,14,4
2022-04-07T06:00:00.000Z,36032,35,74
2022-04-07T08:00:00.000Z,39746,39,43
2022-04-07T10:00:00.000Z,39128,38,81
2022-04-07T12:00:00.000Z,32060,31,8
2022-04-07T14:00:00.000Z,14179,14,6
2022-04-07T16:00:00.000Z,10389,10,3
2022-04-07T18:00:00.000Z,10583,10,49
2022-04-07T20:00:00.000Z,9303,9,22
2022-04-07T22:00:00.000Z,7503,7,44
2022-04-08T00:00:00.000Z,7024,6,96
2022-04-08T02:00:00.000Z,6739,6,68
2022-04-08T04:00:00.000Z,13740,13,63
2022-04-08T06:00:00.000Z,33259,32,99
2022-04-08T08:00:00.000Z,37227,36,93
2022-04-08T10:00:00.000Z,36613,36,32
2022-04-08T12:00:00.000Z,26864,26,65
2022-04-08T14:00:00.000Z,11459,11,36
2022-04-08T16:00:00.000Z,8400,8,33
2022-04-08T18:00:00.000Z,8112,8,4
2022-04-08T20:00:00.000Z,6841,6,78
2022-04-08T22:00:00.000Z,6065,6,1
2022-04-09T00:00:00.000Z,7175,7,11
2022-04-09T02:00:00.000Z,6253,6,2
2022-04-09T04:00:00.000Z,6328,6,27
2022-04-09T06:00:00.000Z,7573,7,51
2022-04-09T08:00:00.000Z,7105,7,4
2022-04-09T10:00:00.000Z,7185,7,12
2022-04-09T12:00:00.000Z,7230,7,17
2022-04-09T14:00:00.000Z,6901,6,84
2022-04-09T16:00:00.000Z,6917,6,86
2022-04-09T18:00:00.000Z,6891,6,83
2022-04-09T20:00:00.000Z,6751,6,69
2022-04-09T22:00:00.000Z,5669,5,62
2022-04-10T00:00:00.000Z,5862,5,81
2022-04-10T02:00:00.000Z,5521,5,47
2022-04-10T04:00:00.000Z,5519,5,47
2022-04-10T06:00:00.000Z,5653,5,6
2022-04-10T08:00:00.000Z,6413,6,36
2022-04-10T10:00:00.000Z,7091,7,3
2022-04-10T12:00:00.000Z,7456,7,39
2022-04-10T14:00:00.000Z,7353,7,29
2022-04-10T16:00:00.000Z,7615,7,55
2022-04-10T18:00:00.000Z,7965,7,9
2022-04-10T20:00:00.000Z,7429,7,37
2022-04-10T22:00:00.000Z,6280,6,23
2022-04-11T00:00:00.000Z,5794,5,74
2022-04-11T02:00:00.000Z,6052,6,
2022-04-11T04:00:00.000Z,12481,12,38
2022-04-11T06:00:00.000Z,29253,29,2
2022-04-11T08:00:00.000Z,32734,32,47
2022-04-11T10:00:00.000Z,33186,32,92
2022-04-11T12:00:00.000Z,27807,27,58
2022-04-11T14:00:00.000Z,13928,13,81
2022-04-11T16:00:00.000Z,9517,9,44
2022-04-11T18:00:00.000Z,8868,8,79
2022-04-11T20:00:00.000Z,7691,7,62
2022-04-11T22:00:00.000Z,6680,6,62
2022-04-12T00:00:00.000Z,5842,5,79
2022-04-12T02:00:00.000Z,6132,6,8
2022-04-12T04:00:00.000Z,12119,12,2
2022-04-12T06:00:00.000Z,27569,27,35
2022-04-12T08:00:00.000Z,32531,32,27
2022-04-12T10:00:00.000Z,31285,31,3
2022-04-12T12:00:00.000Z,24758,24,56
2022-04-12T14:00:00.000Z,10891,10,8
2022-04-12T16:00:00.000Z,8508,8,44
2022-04-12T18:00:00.000Z,8627,8,55
2022-04-12T20:00:00.000Z,7769,7,7
2022-04-12T22:00:00.000Z,6073,6,2
2022-04-13T00:00:00.000Z,5723,5,67
2022-04-13T02:00:00.000Z,5719,5,67
2022-04-13T04:00:00.000Z,11796,11,7
2022-04-13T06:00:00.000Z,,,
2022-04-13T08:00:00.000Z,,,
