Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2021-10-18T00:00:00.000Z,1588,3015,1426
2021-10-19T00:00:00.000Z,1126,2112,986
2021-10-20T00:00:00.000Z,2597,5490,2893
2021-10-21T00:00:00.000Z,2250,4847,2596
2021-10-22T00:00:00.000Z,4034,15018,10984
2021-10-23T00:00:00.000Z,1292,2518,1226
2021-10-24T00:00:00.000Z,1099,1929,829
2021-10-25T00:00:00.000Z,1476,3216,1739
2021-10-26T00:00:00.000Z,1672,3418,1745
2021-10-27T00:00:00.000Z,1861,4101,2240
2021-10-28T00:00:00.000Z,2709,5426,2716
2021-10-29T00:00:00.000Z,2810,5382,2571
2021-10-30T00:00:00.000Z,2531,5937,3405
2021-10-31T00:00:00.000Z,1153,2297,1143
2021-11-01T00:00:00.000Z,1317,2781,1463
2021-11-02T00:00:00.000Z,1731,3569,1837
2021-11-03T00:00:00.000Z,4547,6922,2374
2021-11-04T00:00:00.000Z,2048,4475,2426
2021-11-05T00:00:00.000Z,3796,6099,2304
2021-11-06T00:00:00.000Z,1950,4253,2302
2021-11-07T00:00:00.000Z,1105,1931,826
2021-11-08T00:00:00.000Z,1116,2020,904
2021-11-09T00:00:00.000Z,1906,3912,2004
2021-11-10T00:00:00.000Z,20405,22869,2464
2021-11-11T00:00:00.000Z,1761,3325,1563
2021-11-12T00:00:00.000Z,1635,3176,1540
2021-11-13T00:00:00.000Z,1866,4062,2195
2021-11-14T00:00:00.000Z,1126,1954,828
2021-11-15T00:00:00.000Z,1251,2235,983
2021-11-16T00:00:00.000Z,2125,4683,2558
2021-11-17T00:00:00.000Z,1741,3600,1858
2021-11-18T00:00:00.000Z,3196,6085,2889
2021-11-19T00:00:00.000Z,2207,4692,2485
2021-11-20T00:00:00.000Z,1105,2146,1041
2021-11-21T00:00:00.000Z,1502,7784,6281
2021-11-22T00:00:00.000Z,1410,2688,1277
2021-11-23T00:00:00.000Z,1536,3307,1771
2021-11-24T00:00:00.000Z,1380,2193,812
2021-11-25T00:00:00.000Z,1047,2292,1245
2021-11-26T00:00:00.000Z,881,29372,28491
2021-11-27T00:00:00.000Z,1643,3705,2062
2021-11-28T00:00:00.000Z,827,1533,705
2021-11-29T00:00:00.000Z,1177,2529,1352
2021-11-30T00:00:00.000Z,1349,2932,1583
2021-12-01T00:00:00.000Z,4375,8065,3689
2021-12-02T00:00:00.000Z,3672,9284,5611
2021-12-03T00:00:00.000Z,1997,4291,2294
2021-12-04T00:00:00.000Z,1719,2615,896
2021-12-05T00:00:00.000Z,1359,2618,1259
2021-12-06T00:00:00.000Z,1411,2617,1206
2021-12-07T00:00:00.000Z,1340,2629,1288
2021-12-08T00:00:00.000Z,1443,2764,1320
2021-12-09T00:00:00.000Z,1643,3768,2124
2021-12-10T00:00:00.000Z,7561,8707,1146
2021-12-11T00:00:00.000Z,1074,2344,1269
2021-12-12T00:00:00.000Z,4661,5684,1022
2021-12-13T00:00:00.000Z,2256,3700,1443
2021-12-14T00:00:00.000Z,1441,3054,1613
2021-12-15T00:00:00.000Z,1774,3938,2164
2021-12-16T00:00:00.000Z,1439,3125,1685
2021-12-17T00:00:00.000Z,1332,2759,1427
2021-12-18T00:00:00.000Z,1525,2682,1156
2021-12-19T00:00:00.000Z,1194,2375,1181
2021-12-20T00:00:00.000Z,1342,2710,1368
2021-12-21T00:00:00.000Z,1972,4552,2579
2021-12-22T00:00:00.000Z,1062,2235,1172
2021-12-23T00:00:00.000Z,1667,3549,1882
2021-12-24T00:00:00.000Z,1548,3066,1519
2021-12-25T00:00:00.000Z,1023,2223,1200
2021-12-26T00:00:00.000Z,997,1839,842
2021-12-27T00:00:00.000Z,954,1800,844
2021-12-28T00:00:00.000Z,1580,3154,1574
2021-12-29T00:00:00.000Z,1881,3835,1953
2021-12-30T00:00:00.000Z,3104,7701,4596
2021-12-31T00:00:00.000Z,4054,6999,2945
2022-01-01T00:00:00.000Z,2189,4937,2748
2022-01-02T00:00:00.000Z,1246,2206,960
2022-01-03T00:00:00.000Z,1794,3780,1986
2022-01-04T00:00:00.000Z,3343,8242,4899
2022-01-05T00:00:00.000Z,2263,4982,2719
2022-01-06T00:00:00.000Z,1057,9300,8242
2022-01-07T00:00:00.000Z,1694,3399,1705
2022-01-08T00:00:00.000Z,1682,3701,2019
2022-01-09T00:00:00.000Z,1412,2718,1305
2022-01-10T00:00:00.000Z,2681,5550,2868
2022-01-11T00:00:00.000Z,1622,3304,1681
2022-01-12T00:00:00.000Z,2116,3175,1058
2022-01-13T00:00:00.000Z,2334,3057,723
2022-01-14T00:00:00.000Z,1949,3408,1459
2022-01-15T00:00:00.000Z,1541,6736,5194
2022-01-16T00:00:00.000Z,1726,3634,1907
2022-01-17T00:00:00.000Z,1098,2188,1090
2022-01-18T00:00:00.000Z,2187,4764,2576
2022-01-19T00:00:00.000Z,4270,9746,5476
2022-01-20T00:00:00.000Z,8750,11886,3136
2022-01-21T00:00:00.000Z,1546,3420,1873
2022-01-22T00:00:00.000Z,998,1983,985
2022-01-23T00:00:00.000Z,959,1591,631
2022-01-24T00:00:00.000Z,1322,2584,1260
2022-01-25T00:00:00.000Z,1252,2265,1013
2022-01-26T00:00:00.000Z,1380,2442,1061
2022-01-27T00:00:00.000Z,1249,2294,1043
2022-01-28T00:00:00.000Z,1139,2114,974
2022-01-29T00:00:00.000Z,1387,2458,1070
2022-01-30T00:00:00.000Z,1173,2091,918
2022-01-31T00:00:00.000Z,2151,4541,2389
2022-02-01T00:00:00.000Z,2025,4229,2203
2022-02-02T00:00:00.000Z,1687,3323,1635
2022-02-03T00:00:00.000Z,2032,3819,1786
2022-02-04T00:00:00.000Z,1757,3388,1631
2022-02-05T00:00:00.000Z,4197,5882,1684
2022-02-06T00:00:00.000Z,1321,2476,1155
2022-02-07T00:00:00.000Z,1580,2889,1309
2022-02-08T00:00:00.000Z,2175,4479,2304
2022-02-09T00:00:00.000Z,1540,2938,1397
2022-02-10T00:00:00.000Z,1065,1762,697
2022-02-11T00:00:00.000Z,1740,3232,1493
2022-02-12T00:00:00.000Z,1583,3353,1770
2022-02-13T00:00:00.000Z,1114,1943,828
2022-02-14T00:00:00.000Z,1065,1908,842
2022-02-15T00:00:00.000Z,1489,2779,1290
2022-02-16T00:00:00.000Z,2294,4896,2601
2022-02-17T00:00:00.000Z,1469,2915,1445
2022-02-18T00:00:00.000Z,1546,3116,1569
2022-02-19T00:00:00.000Z,1201,2028,827
2022-02-20T00:00:00.000Z,1364,2630,1266
2022-02-21T00:00:00.000Z,1045,1737,691
2022-02-22T00:00:00.000Z,1126,1977,851
2022-02-23T00:00:00.000Z,1166,1993,827
2022-02-24T00:00:00.000Z,1231,2364,1132
2022-02-25T00:00:00.000Z,3284,7610,4325
2022-02-26T00:00:00.000Z,3411,8132,4721
2022-02-27T00:00:00.000Z,1756,4146,2389
2022-02-28T00:00:00.000Z,1242,2496,1252
2022-03-01T00:00:00.000Z,2120,5014,2893
2022-03-02T00:00:00.000Z,2685,6526,3840
2022-03-03T00:00:00.000Z,2350,5202,2850
2022-03-04T00:00:00.000Z,1678,3314,1636
2022-03-05T00:00:00.000Z,1787,3284,1496
2022-03-06T00:00:00.000Z,1511,2578,1067
2022-03-07T00:00:00.000Z,1360,2608,1248
2022-03-08T00:00:00.000Z,1808,3605,1798
2022-03-09T00:00:00.000Z,1290,2385,1094
2022-03-10T00:00:00.000Z,1229,2359,1129
2022-03-11T00:00:00.000Z,2367,5714,3347
2022-03-12T00:00:00.000Z,2391,5047,2655
2022-03-13T00:00:00.000Z,4380,11399,7018
2022-03-14T00:00:00.000Z,2995,7021,4026
2022-03-15T00:00:00.000Z,3338,8414,5075
2022-03-16T00:00:00.000Z,2428,4876,2447
2022-03-17T00:00:00.000Z,1478,3060,1581
2022-03-18T00:00:00.000Z,1640,3451,1810
2022-03-19T00:00:00.000Z,1070,1811,741
2022-03-20T00:00:00.000Z,2235,4699,2463
2022-03-21T00:00:00.000Z,1377,2510,1133
2022-03-22T00:00:00.000Z,1161,1981,820
2022-03-23T00:00:00.000Z,1913,4069,2156
2022-03-24T00:00:00.000Z,2824,7511,4687
2022-03-25T00:00:00.000Z,1727,3862,2135
2022-03-26T00:00:00.000Z,2652,6233,3580
2022-03-27T00:00:00.000Z,1768,3134,1365
2022-03-28T00:00:00.000Z,3975,9882,5906
